State,Year
  U.S.,7958732.286
AL,115337.2857
AK,20836.57143
AZ,109683.2857
AR,76586.28571
CA,839827
CO,102899.8571
CT,111812.5714
DE,24888
DC,35390.14286
FL,402101
GA,253123.4286
HI,36513.57143
ID,33020.71429
IL,323813.2857
IN,178897.7143
IA,104404.1429
KS,82045.42857
KY,114779.2857
LA,132983.8571
ME,37128.57143
MD,138181.5714
MA,216866.1429
MI,253784.4286
MN,140230.1429
MS,96270.14286
MO,166286.7143
MT,25025.28571
NE,51510.71429
NV,33553.42857
NH,36533.57143
NJ,195643.7143
NM,40211.28571
NY,598471.7143
NC,265352.8571
ND,25220.57143
OH,303936.8571
OK,112209
OR,79358
PA,446582.7143
RI,41046.57143
SC,140209.1429
SD,29257.42857
TN,151414.5714
TX,580491.8571
UT,42111.14286
VT,20760
VA,234641.5714
WA,141204.4286
WV,44580.14286
WI,157674.8571
WY,14039.71429
