"","Date / Time","City","State","Shape","Summary","Posted","Duration"
"1","9/29/13 21:00","Mauritius Island (Mauritius)","","Circle","Around 9 at night it was reported with picture proof by many residents in the island of Mauritius. The object was white and circular wi","9/30/13",10
"2","9/29/13 20:00","Port Louis (Mauritius Island)","","Circle","Hi if you are reading this message some peoples and i have seen an object flying by our country and i have a foto and it is circulating","9/30/13",15
"3","9/29/13 19:39","Madison","WI","Circle","Red lights coming into sky","9/30/13",NA
"4","9/29/13 19:30","Newbury","VT","Circle","White Pulsating Light With Red","9/30/13",10
"5","9/29/13 19:05","Durban (South Africa)","","Circle","A round object in the sky with an aura of light around it moving very slowly across the sky. The object seemed as if it was in space an","9/30/13",6
"6","9/29/13 19:00","Maseru (Lesotho; South Africa)","","Circle","White disk seen in the sky over Lesotho and South Africa, that moved and beacame smaller and was seen by many people.","9/30/13",30
"7","9/29/13 18:58","Springboro","OH","Circle","3 bright yellow lights moving independently, disappearing and reappearing in western sky of SW OHIO","9/30/13",3
"8","9/29/13 18:30","Gunnison area","CO","Circle","Headed west on Highway 50.  About 16 miles east of Gunnison CO saw large circular white light to the S, headed W at about 60 mph.","9/30/13",345
"9","9/28/13 22:16","Ottawa (Canada)","ON","Circle","Large circle with web like  colored (red, green, blue, silver) lightning bolts inside","9/30/13",40
"10","9/28/13 21:50","Sunset Park","NY","Circle","Stationary white lights rotating erratically in a circular formation inside of a cloud.","9/30/13",NA
"11","9/28/13 21:10","West Carrollton","OH","Circle","Bright light splits into two then four bright lights","9/30/13",5
"12","9/28/13 21:00","Niagara Falls","NY","Circle","Orange light circle seen by four people in Niagara Falls.","9/30/13",NA
"13","9/28/13 20:00","Athens","GA","Circle","Very bright light hovering above trees then shot off","9/30/13",5
"14","9/28/13 20:00","Owls Head","NY","Circle","30 or so round red globs of light come uo from the northeast--5 at a time--over the tree line--then disappear.","9/30/13",10
"15","9/27/13 11:40","Shaker Heights","OH","Circle","Blue green round fireball appeared while my husband was walking the dog. It seemed to be at a distance but was quite large...seemed to","9/30/13",1.5
"16","9/27/13 05:00","Ozark","AR","Circle","Yellowish orange orb moving horizonally, low to the ground at a very high rate of speed with no sound, no tail","9/30/13",2
"17","9/26/13 21:30","North Myrtle Beach","SC","Circle","Fast moving, low altitude orange orb","9/30/13",3
"18","9/26/13 21:30","North Myrtle Beach","SC","Circle","Large Orange Circles hovering and &quot;dancing&quot; in the sky - North Myrtle Beach","9/30/13",3
"19","9/26/13 21:05","Conway","SC","Circle","Appears to be three red-orange independent objects with independent movement. White light much larger and simply vanised","9/30/13",47
"20","9/26/13 21:00","Longs","SC","Circle","3 glowing spheres going completing dark and appearing in opposite direction.","9/30/13",30
"21","9/26/13 19:40","Cincinnati","OH","Circle","Seen two orange fire balls rotating around each other with no sound and lasted for a few min Them the bright light vanished and the fle","9/30/13",3
"22","9/25/13 05:17","Three Forks","MT","Circle","Strange movement of circular lights.","9/30/13",45
"23","9/24/13 20:35","Fairbanks","AK","Circle","3 white orbs. 2 in front 1 behind.","9/30/13",2
"24","9/23/13 23:15","Neillsville","WI","Circle","I’d like to get some opinions or input. For several months I’ve been seeing objects in the sky over Neillsville. At first I tho","9/30/13",NA
