"userid","age","gender","relation_status","hometown","living","perference","total_action","sign_up","last_login","total_visits","total_posts","total_time_spend","total_new_friends","totalfriends"
1,23,0,2,6,1,4,253,"2013-03-10","2013-10-07",14,5,14.0465512933968,2,71
2,50,1,4,4,4,6,119,"2013-03-10","2013-10-07",10,14,5.38002643557621,2,68
3,49,1,4,2,3,4,230,"2013-02-08","2013-10-07",15,10,8.51318986465818,4,75
4,23,1,4,4,4,5,207,"2013-03-10","2013-10-07",9,8,12.0412636944944,6,71
5,23,0,4,4,4,5,98,"2013-01-07","2013-10-05",6,4,4.54473840256412,8,93
6,14,1,2,5,5,6,105,"2013-03-10","2013-10-07",7,15,4.23258434538418,3,66
7,28,0,4,4,5,5,304,"2013-04-08","2013-10-06",15,18,13.411054475837,4,58
8,23,1,2,3,3,1,51,"2013-03-08","2013-10-05",2,1,5.71447610803147,1,68
9,24,1,2,2,2,3,190,"2013-02-08","2013-10-07",13,5,3.17011318955792,4,83
10,17,1,4,6,6,4,120,"2013-03-09","2013-10-06",7,5,8.98088996968318,3,73
11,25,0,1,6,1,3,110,"2013-03-10","2013-10-07",5,4,8.47568376944228,5,74
12,18,0,2,2,3,2,382,"2013-04-09","2013-10-07",13,9,14.0830123222874,6,64
13,26,0,2,4,5,2,57,"2013-02-07","2013-10-06",4,5,7.42805321558359,1,75
14,24,1,4,6,1,6,163,"2013-04-09","2013-10-07",7,9,13.9307392714924,2,59
15,26,1,1,3,3,5,2409,"2013-10-03","2013-10-07",28,17,8.79219660730571,73,72
16,33,1,1,4,4,4,103,"2013-04-08","2013-10-06",8,7,6.419225587743,2,58
17,24,1,4,1,1,1,48,"2013-04-09","2013-10-07",3,1,4.75801921269891,2,64
18,19,1,1,4,4,6,51,"2013-04-08","2013-10-06",7,5,4.00603574249745,0,60
19,24,1,1,5,5,3,140,"2013-03-10","2013-10-07",6,10,2.62229738688782,5,70
20,28,1,4,1,1,4,122,"2013-05-09","2013-10-07",10,6,6.04015463691842,1,54
21,20,1,1,1,1,2,322,"2011-04-20","2013-10-07",22,27,8.02640172316404,3,295
22,29,1,4,5,6,4,42,"2013-04-07","2013-10-05",6,19,0.214808492478557,2,57
23,15,1,1,1,2,1,66,"2013-04-09","2013-10-07",6,2,3.76095524016197,1,60
24,20,0,2,4,5,4,233,"2012-04-14","2013-10-07",13,14,13.0807461950402,1,176
25,25,0,2,5,5,6,147,"2013-04-08","2013-10-06",8,17,7.3949829279345,3,63
26,24,0,1,3,3,1,42,"2011-11-15","2013-10-06",2,2,6.23156218553916,3,227
27,18,0,1,5,6,4,755,"2010-10-22","2013-10-07",27,24,18.087397986619,7,355
28,21,0,2,1,1,2,324,"2012-04-14","2013-10-07",16,17,10.1672685723613,5,180
29,29,1,4,4,5,6,146,"2013-04-08","2013-10-06",6,7,4.91363315889069,6,60
30,17,0,1,3,4,1,94,"2012-10-11","2013-10-07",8,10,3.70108866561577,3,119
31,42,0,1,4,5,5,140,"2013-04-09","2013-10-07",10,11,7.82292458324241,3,65
32,21,0,4,4,4,6,146,"2012-03-14","2013-10-06",9,10,6.45722127740057,2,191
33,18,1,1,3,3,2,590,"2010-01-25","2013-10-07",21,21,15.9073189476786,9,449
34,14,1,1,6,1,5,34,"2013-02-06","2013-10-05",2,3,0.419203824277238,1,77
35,20,0,1,1,1,1,143,"2013-04-08","2013-10-06",6,12,15.0829198024552,0,57
36,31,0,4,1,2,3,147,"2013-04-09","2013-10-07",11,7,6.52585681322437,4,56
37,26,1,2,6,6,6,92,"2013-01-09","2013-10-07",7,11,6.20955731890129,6,86
38,14,1,1,5,5,5,139,"2013-04-09","2013-10-07",6,4,10.5847498888039,7,59
39,21,0,1,5,5,5,636,"2013-03-10","2013-10-07",24,20,16.8675444100306,5,67
40,21,0,1,4,4,5,169,"2012-10-10","2013-10-06",7,8,10.2328715748665,4,119
41,30,1,2,3,3,1,116,"2013-05-09","2013-10-07",6,7,4.36405974887934,4,50
42,14,0,2,2,2,3,129,"2013-06-06","2013-10-05",8,6,6.46621345911436,6,38
43,48,1,4,1,1,2,416,"2013-04-09","2013-10-07",20,36,13.5327583816752,5,62
44,25,0,4,5,5,2,133,"2013-04-09","2013-10-07",9,6,7.88397304472685,1,63
45,21,1,2,2,3,1,87,"2013-03-10","2013-10-07",3,3,7.14960272357556,2,73
46,31,0,4,5,5,3,845,"2013-04-09","2013-10-07",21,23,27.4080021473429,11,55
47,24,1,2,3,3,3,82,"2013-02-08","2013-10-07",6,8,4.73684071156603,3,75
48,19,1,4,5,5,5,117,"2013-02-08","2013-10-07",15,14,3.29754175794079,4,82
49,22,0,2,5,5,5,284,"2012-09-11","2013-10-07",16,11,6.75823612091483,8,134
50,17,0,2,5,5,4,63,"2013-02-08","2013-10-07",8,10,0.868130523142074,3,85
51,25,0,4,2,2,2,80,"2013-04-09","2013-10-07",9,12,2.99282518002628,0,57
52,47,1,4,6,1,4,51,"2013-04-09","2013-10-07",4,3,4.63723979492303,1,62
53,47,1,4,6,6,4,63,"2013-05-09","2013-10-07",6,5,2.32462335117216,4,47
54,19,1,2,4,4,4,280,"2012-12-10","2013-10-07",14,12,11.5306435231213,3,97
55,25,0,2,3,3,4,54,"2013-03-10","2013-10-07",3,1,9.22233835359326,2,69
56,23,0,1,1,1,2,114,"2013-04-08","2013-10-06",8,11,4.19641098427977,5,58
57,17,1,1,5,5,5,192,"2012-12-10","2013-10-07",7,6,13.9005276469975,7,98
58,37,1,4,1,1,1,213,"2013-04-09","2013-10-07",11,16,9.75871709435991,4,61
59,31,1,4,2,2,3,102,"2013-04-09","2013-10-07",10,18,4.66176580916889,3,64
60,26,0,4,2,3,1,233,"2013-04-09","2013-10-07",16,16,4.52003911448197,7,64
61,15,0,1,5,5,6,116,"2013-02-08","2013-10-07",7,6,5.30078492286725,4,85
