"userid","age","gender","relation_status","hometown","living","perference","total_action","sign_up","last_login","total_visits","total_posts","total_time_spend","total_new_friends","totalfriends","absdistance"
1,23,"Female","in a relationship",6,1,4,253,2013-03-10,"2013-10-07",14,5,14.0465512933968,2,71,5
2,50,"Male","married",4,4,6,119,2013-03-10,"2013-10-07",10,14,5.38002643557621,2,68,0
3,49,"Male","married",2,3,4,230,2013-02-08,"2013-10-07",15,10,8.51318986465818,4,75,1
4,23,"Male","married",4,4,5,207,2013-03-10,"2013-10-07",9,8,12.0412636944944,6,71,0
5,23,"Female","married",4,4,5,98,2013-01-07,"2013-10-05",6,4,4.54473840256412,8,93,0
6,14,"Male","in a relationship",5,5,6,105,2013-03-10,"2013-10-07",7,15,4.23258434538418,3,66,0
7,28,"Female","married",4,5,5,304,2013-04-08,"2013-10-06",15,18,13.411054475837,4,58,1
8,23,"Male","in a relationship",3,3,1,51,2013-03-08,"2013-10-05",2,1,5.71447610803147,1,68,0
9,24,"Male","in a relationship",2,2,3,190,2013-02-08,"2013-10-07",13,5,3.17011318955792,4,83,0
10,17,"Male","married",6,6,4,120,2013-03-09,"2013-10-06",7,5,8.98088996968318,3,73,0
11,25,"Female","single",6,1,3,110,2013-03-10,"2013-10-07",5,4,8.47568376944228,5,74,5
12,18,"Female","in a relationship",2,3,2,382,2013-04-09,"2013-10-07",13,9,14.0830123222874,6,64,1
13,26,"Female","in a relationship",4,5,2,57,2013-02-07,"2013-10-06",4,5,7.42805321558359,1,75,1
14,24,"Male","married",6,1,6,163,2013-04-09,"2013-10-07",7,9,13.9307392714924,2,59,5
15,26,"Male","single",3,3,5,2409,2013-10-03,"2013-10-07",28,17,8.79219660730571,73,72,0
16,33,"Male","single",4,4,4,103,2013-04-08,"2013-10-06",8,7,6.419225587743,2,58,0
17,24,"Male","married",1,1,1,48,2013-04-09,"2013-10-07",3,1,4.75801921269891,2,64,0
18,19,"Male","single",4,4,6,51,2013-04-08,"2013-10-06",7,5,4.00603574249745,0,60,0
19,24,"Male","single",5,5,3,140,2013-03-10,"2013-10-07",6,10,2.62229738688782,5,70,0
20,28,"Male","married",1,1,4,122,2013-05-09,"2013-10-07",10,6,6.04015463691842,1,54,0
21,20,"Male","single",1,1,2,322,2011-04-20,"2013-10-07",22,27,8.02640172316404,3,295,0
22,29,"Male","married",5,6,4,42,2013-04-07,"2013-10-05",6,19,0.214808492478557,2,57,1
23,15,"Male","single",1,2,1,66,2013-04-09,"2013-10-07",6,2,3.76095524016197,1,60,1
24,20,"Female","in a relationship",4,5,4,233,2012-04-14,"2013-10-07",13,14,13.0807461950402,1,176,1
25,25,"Female","in a relationship",5,5,6,147,2013-04-08,"2013-10-06",8,17,7.3949829279345,3,63,0
26,24,"Female","single",3,3,1,42,2011-11-15,"2013-10-06",2,2,6.23156218553916,3,227,0
27,18,"Female","single",5,6,4,755,2010-10-22,"2013-10-07",27,24,18.087397986619,7,355,1
28,21,"Female","in a relationship",1,1,2,324,2012-04-14,"2013-10-07",16,17,10.1672685723613,5,180,0
29,29,"Male","married",4,5,6,146,2013-04-08,"2013-10-06",6,7,4.91363315889069,6,60,1
30,17,"Female","single",3,4,1,94,2012-10-11,"2013-10-07",8,10,3.70108866561577,3,119,1
31,42,"Female","single",4,5,5,140,2013-04-09,"2013-10-07",10,11,7.82292458324241,3,65,1
32,21,"Female","married",4,4,6,146,2012-03-14,"2013-10-06",9,10,6.45722127740057,2,191,0
33,18,"Male","single",3,3,2,590,2010-01-25,"2013-10-07",21,21,15.9073189476786,9,449,0
34,14,"Male","single",6,1,5,34,2013-02-06,"2013-10-05",2,3,0.419203824277238,1,77,5
35,20,"Female","single",1,1,1,143,2013-04-08,"2013-10-06",6,12,15.0829198024552,0,57,0
36,31,"Female","married",1,2,3,147,2013-04-09,"2013-10-07",11,7,6.52585681322437,4,56,1
37,26,"Male","in a relationship",6,6,6,92,2013-01-09,"2013-10-07",7,11,6.20955731890129,6,86,0
38,14,"Male","single",5,5,5,139,2013-04-09,"2013-10-07",6,4,10.5847498888039,7,59,0
39,21,"Female","single",5,5,5,636,2013-03-10,"2013-10-07",24,20,16.8675444100306,5,67,0
40,21,"Female","single",4,4,5,169,2012-10-10,"2013-10-06",7,8,10.2328715748665,4,119,0
41,30,"Male","in a relationship",3,3,1,116,2013-05-09,"2013-10-07",6,7,4.36405974887934,4,50,0
42,14,"Female","in a relationship",2,2,3,129,2013-06-06,"2013-10-05",8,6,6.46621345911436,6,38,0
43,48,"Male","married",1,1,2,416,2013-04-09,"2013-10-07",20,36,13.5327583816752,5,62,0
44,25,"Female","married",5,5,2,133,2013-04-09,"2013-10-07",9,6,7.88397304472685,1,63,0
45,21,"Male","in a relationship",2,3,1,87,2013-03-10,"2013-10-07",3,3,7.14960272357556,2,73,1
46,31,"Female","married",5,5,3,845,2013-04-09,"2013-10-07",21,23,27.4080021473429,11,55,0
47,24,"Male","in a relationship",3,3,3,82,2013-02-08,"2013-10-07",6,8,4.73684071156603,3,75,0
48,19,"Male","married",5,5,5,117,2013-02-08,"2013-10-07",15,14,3.29754175794079,4,82,0
49,22,"Female","in a relationship",5,5,5,284,2012-09-11,"2013-10-07",16,11,6.75823612091483,8,134,0
50,17,"Female","in a relationship",5,5,4,63,2013-02-08,"2013-10-07",8,10,0.868130523142074,3,85,0
51,25,"Female","married",2,2,2,80,2013-04-09,"2013-10-07",9,12,2.99282518002628,0,57,0
52,47,"Male","married",6,1,4,51,2013-04-09,"2013-10-07",4,3,4.63723979492303,1,62,5
53,47,"Male","married",6,6,4,63,2013-05-09,"2013-10-07",6,5,2.32462335117216,4,47,0
54,19,"Male","in a relationship",4,4,4,280,2012-12-10,"2013-10-07",14,12,11.5306435231213,3,97,0
55,25,"Female","in a relationship",3,3,4,54,2013-03-10,"2013-10-07",3,1,9.22233835359326,2,69,0
56,23,"Female","single",1,1,2,114,2013-04-08,"2013-10-06",8,11,4.19641098427977,5,58,0
57,17,"Male","single",5,5,5,192,2012-12-10,"2013-10-07",7,6,13.9005276469975,7,98,0
58,37,"Male","married",1,1,1,213,2013-04-09,"2013-10-07",11,16,9.75871709435991,4,61,0
59,31,"Male","married",2,2,3,102,2013-04-09,"2013-10-07",10,18,4.66176580916889,3,64,0
60,26,"Female","married",2,3,1,233,2013-04-09,"2013-10-07",16,16,4.52003911448197,7,64,1
61,15,"Female","single",5,5,6,116,2013-02-08,"2013-10-07",7,6,5.30078492286725,4,85,0
62,18,"Male","in a relationship",4,5,5,161,2013-04-08,"2013-10-06",8,3,11.0955966778622,4,58,1
63,17,"Male","single",5,5,5,237,2012-12-10,"2013-10-07",10,9,9.54441155883314,7,104,0
64,26,"Male","single",1,1,5,180,2013-04-08,"2013-10-06",6,6,20.2898745498906,1,61,0
65,18,"Male","single",3,3,2,298,2013-05-09,"2013-10-07",16,15,6.31503946069567,7,51,0
66,17,"Female","single",4,4,4,264,2013-03-10,"2013-10-07",12,20,13.8471543364458,3,71,0
67,29,"Male","engaged",4,4,4,97,2013-04-09,"2013-10-07",7,8,6.8710089117661,4,60,0
68,32,"Female","single",1,1,2,38,2013-03-09,"2013-10-06",3,6,3.34821423051449,3,71,0
69,14,"Male","married",1,1,2,123,2013-02-08,"2013-10-07",8,8,7.6945672478118,4,75,0
70,14,"Male","single",6,6,5,455,2013-04-09,"2013-10-07",15,9,24.1043811931071,4,55,0
71,23,"Female","single",2,3,2,154,2013-04-09,"2013-10-07",9,6,12.6034929600032,1,65,1
72,18,"Female","in a relationship",5,5,6,87,2013-05-09,"2013-10-07",6,7,2.27277920680411,5,46,0
73,23,"Female","in a relationship",6,6,4,165,2013-02-08,"2013-10-07",8,9,11.1777230247087,4,82,0
74,29,"Female","married",6,1,4,18,2013-04-07,"2013-10-05",4,3,2.58854960634439,0,56,5
75,18,"Female","in a relationship",5,5,4,183,2013-04-09,"2013-10-07",13,13,3.28038956349933,4,65,0
76,46,"Male","married",6,6,4,218,2013-05-09,"2013-10-07",13,16,8.6789795016693,4,54,0
77,16,"Female","single",4,4,5,311,2013-04-09,"2013-10-07",13,10,12.8497560239091,5,55,0
78,28,"Female","married",4,5,4,207,2013-04-09,"2013-10-07",11,5,11.9617260889157,4,63,1
79,19,"Female","single",2,2,1,350,2009-11-26,"2013-10-07",26,10,7.99997229764853,2,471,0
80,41,"Female","married",1,1,3,145,2013-04-09,"2013-10-07",9,7,9.42670000512493,3,57,0
81,24,"Male","single",4,4,4,234,2012-04-13,"2013-10-06",12,11,6.2405877341257,6,182,0
82,25,"Female","in a relationship",4,5,5,239,2013-02-08,"2013-10-07",14,22,8.68561612690962,2,83,1
83,22,"Female","single",4,4,5,346,2013-02-08,"2013-10-07",14,3,12.3331133425449,7,77,0
84,27,"Male","engaged",6,1,5,97,2013-04-09,"2013-10-07",7,6,7.17477272973754,3,60,5
85,30,"Male","single",6,6,2,125,2013-04-09,"2013-10-07",8,0,7.53312055201418,3,58,0
86,18,"Female","in a relationship",3,4,1,29,2012-08-12,"2013-10-07",4,8,2.48035646116611,0,135,1
87,19,"Male","in a relationship",4,4,6,29,2013-01-08,"2013-10-06",6,2,0.534636675985793,0,91,0
88,18,"Male","married",2,2,4,150,2013-02-08,"2013-10-07",7,13,9.00513568737432,3,79,0
89,37,"Female","single",2,2,3,335,2013-06-08,"2013-10-07",11,9,19.5406496722296,4,41,0
90,18,"Male","in a relationship",4,4,6,412,2012-10-10,"2013-10-06",20,30,12.8012266440594,4,115,0
91,27,"Male","single",2,2,2,146,2013-04-09,"2013-10-07",10,22,3.22614783766677,5,62,0
92,31,"Female","married",5,6,6,185,2013-03-10,"2013-10-07",9,5,10.6843401256837,6,69,1
93,25,"Female","in a relationship",2,2,2,102,2013-03-09,"2013-10-06",9,10,5.6804085845721,1,67,0
94,16,"Male","married",5,5,1,57,2013-03-10,"2013-10-07",4,1,2.95006835184022,4,70,0
95,14,"Male","married",5,6,1,153,2013-04-09,"2013-10-07",8,13,7.97733053103839,4,60,1
