region,group
alabama,5
alaska,1
arizona,2
arkansas,4
california,1
colorado,3
connecticut,6
delaware,6
florida,6
georgia,6
hawaii,1
idaho,2
illinois,4
indiana,5
iowa,4
kansas,3
kentucky,5
louisiana,4
maine,6
maryland,6
massachusetts,6
michigan,5
minnesota,4
mississippi,4
missouri,4
montana,2
nebraska,3
nevada,2
new hampshire,6
new jersey,6
new mexico,3
new york,6
north carolina,6
north dakota,3
ohio,5
oklahoma,3
oregon,1
pennsylvania,6
rhode island,6
south carolina,6
south dakota,3
tennessee,5
texas,3
utah,2
vermont,6
virginia,6
washington,1
west virginia,5
wisconsin,4
wyoming,2
