long,lat,group,order,region,subregion
-87.46200562,30.38968086,1,1,5,NA
-87.48493195,30.37249184,1,2,5,NA
-87.52503204,30.37249184,1,3,5,NA
-87.53076172,30.33238602,1,4,5,NA
-87.57086945,30.32665443,1,5,5,NA
-87.58805847,30.32665443,1,6,5,NA
-87.59378815,30.30946732,1,7,5,NA
-87.59378815,30.28654861,1,8,5,NA
-87.6740036,30.27508926,1,9,5,NA
-87.81151581,30.25790215,1,10,5,NA
-87.88026428,30.24644089,1,11,5,NA
-87.92037201,30.24644089,1,12,5,NA
-87.95475006,30.24644089,1,13,5,NA
-88.00631714,30.24071312,1,14,5,NA
-88.01777649,30.25217056,1,15,5,NA
-88.01204681,30.26935959,1,16,5,NA
-87.99485779,30.27508926,1,17,5,NA
-87.95475006,30.27508926,1,18,5,NA
-87.90318298,30.28082085,1,19,5,NA
-87.8286972,30.28654861,1,20,5,NA
-87.80005646,30.28654861,1,21,5,NA
-87.80005646,30.32665443,1,22,5,NA
-87.81723785,30.34384537,1,23,5,NA
-87.84015656,30.38395309,1,24,5,NA
-87.85162354,30.40114212,1,25,5,NA
-87.87453461,30.41259956,1,26,5,NA
-87.90318298,30.42406082,1,27,5,NA
-87.92610168,30.44697952,1,28,5,NA
-87.93183136,30.49281311,1,29,5,NA
-87.94329071,30.52719307,1,30,5,NA
-87.92037201,30.56156921,1,31,5,NA
-87.91464233,30.58448792,1,32,5,NA
-87.92610168,30.61886406,1,33,5,NA
-87.92037201,30.67043114,1,34,5,NA
-87.94902039,30.69907761,1,35,5,NA
-87.98912811,30.79075241,1,36,5,NA
-88.00631714,30.79648209,1,37,5,NA
-88.01777649,30.80220985,1,38,5,NA
-88.03496552,30.79075241,1,39,5,NA
-88.04642487,30.75637627,1,40,5,NA
-88.05215454,30.72772598,1,41,5,NA
-88.05215454,30.71053886,1,42,5,NA
-88.06360626,30.68762016,1,43,5,NA
-88.06934357,30.68188858,1,44,5,NA
-88.08080292,30.63032532,1,45,5,NA
-88.08080292,30.61313629,1,46,5,NA
-88.09799194,30.60740662,1,47,5,NA
-88.10944366,30.59594536,1,48,5,NA
-88.11518097,30.58448792,1,49,5,NA
-88.10944366,30.55583763,1,50,5,NA
-88.12091064,30.48135567,1,51,5,NA
-88.12091064,30.44124794,1,52,5,NA
-88.12664032,30.38968086,1,53,5,NA
-88.13237,30.36103439,1,54,5,NA
-88.14382935,30.34384537,1,55,5,NA
-88.16101837,30.33811569,1,56,5,NA
-88.17247772,30.33811569,1,57,5,NA
-88.18965912,30.35530472,1,58,5,NA
-88.2240448,30.37822342,1,59,5,NA
-88.23549652,30.39541054,1,60,5,NA
-88.2870636,30.40114212,1,61,5,NA
-88.31571198,30.40114212,1,62,5,NA
-88.332901,30.40114212,1,63,5,NA
-88.35009766,30.42406082,1,64,5,NA
-88.39020538,30.41259956,1,65,5,NA
-88.40738678,30.73345757,1,66,5,NA
-88.41884613,30.99701691,1,67,5,NA
-88.43030548,31.12306786,1,68,5,NA
-88.45322418,31.43246651,1,69,5,NA
-88.46468353,31.69602585,1,70,5,NA
-88.47614288,31.89082909,1,71,5,NA
-88.43030548,32.22314453,1,72,5,NA
-88.43030548,32.30908966,1,73,5,NA
-88.39020538,32.57838058,1,74,5,NA
-88.35009766,32.92215347,1,75,5,NA
-88.33863068,32.9851799,1,76,5,NA
-88.29853058,33.2831192,1,77,5,NA
-88.27560425,33.52949142,1,78,5,NA
-88.25269318,33.73575592,1,79,5,NA
-88.20685577,34.06233978,1,80,5,NA
-88.20685577,34.07952881,1,81,5,NA
-88.18393707,34.31444168,1,82,5,NA
-88.16674805,34.46340942,1,83,5,NA
-88.14955139,34.5837326,1,84,5,NA
-88.10944366,34.89885712,1,85,5,NA
-88.13237,34.90459061,1,86,5,NA
-88.16674805,34.95042801,1,87,5,NA
-88.18965912,34.99626541,1,88,5,NA
-88.18393707,35.01345062,1,89,5,NA
-87.98912811,35.01345062,1,90,5,NA
-87.6052475,35.00772095,1,91,5,NA
-87.22709656,35.00199127,1,92,5,NA
-87.20417023,35.00199127,1,93,5,NA
-86.82602692,34.99626541,1,94,5,NA
-86.78018951,34.99053192,1,95,5,NA
-86.31036377,34.99053192,1,96,5,NA
-85.85199738,34.98480225,1,97,5,NA
-85.61135101,34.97907257,1,98,5,NA
-85.58843994,34.84156418,1,99,5,NA
-85.54260254,34.61811066,1,100,5,NA
-85.52540588,34.5837326,1,101,5,NA
-85.46811676,34.2628746,1,102,5,NA
-85.42800903,34.07952881,1,103,5,NA
-85.40509033,33.95920944,1,104,5,NA
-85.39363098,33.90764236,1,105,5,NA
-85.34779358,33.66127014,1,106,5,NA
-85.31341553,33.49510956,1,107,5,NA
-85.2962265,33.43209076,1,108,5,NA
-85.24465942,33.11696243,1,109,5,NA
-85.23892975,33.10549927,1,110,5,NA
-85.19309235,32.87059021,1,111,5,NA
-85.19309235,32.85912704,1,112,5,NA
-85.17018127,32.84194183,1,113,5,NA
-85.14725494,32.79037476,1,114,5,NA
-85.13007355,32.76745605,1,115,5,NA
-85.13007355,32.75026703,1,116,5,NA
-85.12434387,32.73308182,1,117,5,NA
-85.10141754,32.67578125,1,118,5,NA
-85.10141754,32.63567352,1,119,5,NA
-85.06703949,32.60702896,1,120,5,NA
-85.04985809,32.55546188,1,121,5,NA
-85.00975037,32.52681732,1,122,5,NA
-84.98683167,32.49816513,1,123,5,NA
-84.99256134,32.46951675,1,124,5,NA
-84.97537231,32.42368317,1,125,5,NA
-84.98109436,32.37784576,1,126,5,NA
-85.00402069,32.33773804,1,127,5,NA
-84.97537231,32.30908966,1,128,5,NA
-84.92380524,32.28044128,1,129,5,NA
-84.90088654,32.25179291,1,130,5,NA
-84.92953491,32.2346077,1,131,5,NA
-84.95245361,32.22887421,1,132,5,NA
-84.96964264,32.20022583,1,133,5,NA
-84.99256134,32.1830368,1,134,5,NA
-85.04985809,32.1601181,1,135,5,NA
-85.06130981,32.12001419,1,136,5,NA
-85.06130981,32.10282516,1,137,5,NA
-85.06130981,32.08563614,1,138,5,NA
-85.06130981,32.06271744,1,139,5,NA
-85.06130981,32.0283432,1,140,5,NA
-85.06130981,31.99396133,1,141,5,NA
-85.07850647,31.95958519,1,142,5,NA
-85.10714722,31.93666649,1,143,5,NA
-85.14152527,31.8679142,1,144,5,NA
-85.13580322,31.78769684,1,145,5,NA
-85.13580322,31.7762394,1,146,5,NA
-85.13007355,31.73040199,1,147,5,NA
-85.11860657,31.68456459,1,148,5,NA
-85.07850647,31.6158123,1,149,5,NA
-85.06130981,31.55851746,1,150,5,NA
-85.06130981,31.5241375,1,151,5,NA
-85.08423615,31.47830009,1,152,5,NA
-85.08423615,31.44392395,1,153,5,NA
-85.0956955,31.40954781,1,154,5,NA
-85.0956955,31.3407917,1,155,5,NA
-85.10141754,31.30068398,1,156,5,NA
-85.12434387,31.28349495,1,157,5,NA
-85.12434387,31.25484657,1,158,5,NA
-85.11287689,31.19182014,1,159,5,NA
-85.11287689,31.17463303,1,160,5,NA
-85.08996582,31.14025688,1,161,5,NA
-85.04412842,31.1116066,1,162,5,NA
-85.03839874,31.09441948,1,163,5,NA
-85.03266907,31.07723045,1,164,5,NA
-85.03266907,31.03712463,1,165,5,NA
-85.01548004,31.00274849,1,166,5,NA
-85.01548004,30.99701691,1,167,5,NA
-85.49676514,31.00847435,1,168,5,NA
-85.51967621,31.00847435,1,169,5,NA
-86.04679871,31.00847435,1,170,5,NA
-86.20149994,31.00847435,1,171,5,NA
-86.39057159,31.00847435,1,172,5,NA
-86.70569611,31.00847435,1,173,5,NA
-86.79737091,31.00847435,1,174,5,NA
-87.18125916,31.00847435,1,175,5,NA
-87.6052475,31.00847435,1,176,5,NA
-87.6052475,30.95691109,1,177,5,NA
-87.61096954,30.93399239,1,178,5,NA
-87.63389587,30.89961624,1,179,5,NA
-87.63962555,30.87669754,1,180,5,NA
-87.63389587,30.85950851,1,181,5,NA
-87.61096954,30.84231758,1,182,5,NA
-87.54795074,30.77356339,1,183,5,NA
-87.49065399,30.72199631,1,184,5,NA
-87.46200562,30.71053886,1,185,5,NA
-87.45054626,30.69907761,1,186,5,NA
-87.42189789,30.67615891,1,187,5,NA
-87.41043854,30.64751244,1,188,5,NA
-87.41043854,30.61886406,1,189,5,NA
-87.43335724,30.58448792,1,190,5,NA
-87.46200562,30.54438019,1,191,5,NA
-87.46773529,30.52719307,1,192,5,NA
-87.46200562,30.51000404,1,193,5,NA
-87.44482422,30.49281311,1,194,5,NA
-87.39898682,30.45843697,1,195,5,NA
-87.39325714,30.44697952,1,196,5,NA
-87.40471649,30.42978668,1,197,5,NA
-87.42189789,30.42978668,1,198,5,NA
-87.43909454,30.42406082,1,199,5,NA
-87.43909454,30.41832924,1,200,5,NA
-87.45054626,30.40114212,1,201,5,NA
-87.46200562,30.38968086,1,202,5,NA
-114.6373901,35.0191803,2,204,2,NA
-114.6431274,35.10512161,2,205,2,NA
-114.6030197,35.12231064,2,206,2,NA
-114.5743637,35.17961121,2,207,2,NA
-114.5858307,35.23690414,2,208,2,NA
-114.5972824,35.28274155,2,209,2,NA
-114.6087418,35.35722733,2,210,2,NA
-114.6259384,35.40879059,2,211,2,NA
-114.6660461,35.45462799,2,212,2,NA
-114.6603088,35.50046539,2,213,2,NA
-114.6660461,35.54057312,2,214,2,NA
-114.6717758,35.60932922,2,215,2,NA
-114.6832352,35.66662216,2,216,2,NA
-114.7004166,35.71245956,2,217,2,NA
-114.7004166,35.79267502,2,218,2,NA
-114.6889572,35.88434601,2,219,2,NA
-114.7118759,35.91299438,2,220,2,NA
-114.7348022,35.95883179,2,221,2,NA
-114.7348022,36.01612854,2,222,2,NA
-114.7577133,36.06196594,2,223,2,NA
-114.7348022,36.10780334,2,224,2,NA
-114.7004166,36.11925888,2,225,2,NA
-114.6431274,36.14217758,2,226,2,NA
-114.5571823,36.15363693,2,227,2,NA
-114.4884262,36.13644791,2,228,2,NA
-114.3967514,36.13644791,2,229,2,NA
-114.3279953,36.11352921,2,230,2,NA
-114.3108139,36.04477692,2,231,2,NA
-114.2649765,36.02758408,2,232,2,NA
-114.2019424,36.02185822,2,233,2,NA
-114.1389236,36.03904724,2,234,2,NA
-114.1160049,36.09634018,2,235,2,NA
-114.0816269,36.13644791,2,236,2,NA
-114.0529785,36.21093369,2,237,2,NA
-114.0472488,36.84118652,2,238,2,NA
-114.0415192,36.99588394,2,239,2,NA
-113.8237991,36.99588394,2,240,2,NA
-113.537323,37.00161362,2,241,2,NA
-113.2794876,37.00161362,2,242,2,NA
-113.0044708,37.00161362,2,243,2,NA
-112.9070663,36.99588394,2,244,2,NA
-112.7294464,37.00161362,2,245,2,NA
-112.5403748,36.99588394,2,246,2,NA
-112.4143219,36.99588394,2,247,2,NA
-112.2080536,36.99588394,2,248,2,NA
-111.9502258,37.00161362,2,249,2,NA
-111.6866684,37.00161362,2,250,2,NA
