"","number_visit","number_posts","time_spend","new_friend","userid"
"1",1,0,0.446633054318895,1,1
"2",4,0,0.888053891438139,0,2
"3",2,0,1.16811800263909,1,3
"4",2,0,4.39021613829735,0,4
"5",1,0,2.28685443878446,2,5
"6",4,13,0.776771315510889,2,6
"7",3,3,0.139124442837648,1,7
"8",1,1,1.69845709436856,0,8
"9",1,0,1.07074483971527,1,9
"11",2,1,2.2599066803918,0,11
"12",6,7,6.58727448447346,2,12
"13",2,4,3.76559644456986,1,13
"14",2,3,5.81225830086121,0,14
"15",4,3,1.57009828602895,19,15
"17",1,0,1.49408828201941,1,17
"19",2,6,1.93969840491326,3,19
"20",2,2,2.81764223345754,0,20
"21",5,11,1.40106612592936,0,21
"22",2,7,0.0539672965180659,2,22
"23",5,1,1.68722727909414,1,23
"24",2,0,1.93908669045343,0,24
"30",2,1,0.241992357741304,1,30
"32",5,9,6.08045249698382,0,32
"33",1,2,2.58728149483125,4,33
"34",2,3,0.419203824277238,1,34
"35",4,10,10.5518274748237,0,35
"37",1,4,1.71791531521516,1,37
"38",2,2,8.47499478900993,3,38
"39",6,6,3.45741260354383,2,39
"42",2,2,1.78710756605304,2,42
"43",3,7,0.939438271931779,1,43
"44",1,1,1.66381810214572,1,44
"46",4,2,0.00371397519658496,0,46
"47",1,1,0.264954962237713,2,47
"48",5,9,0.554257879770079,2,48
"56",4,6,0.731798129275037,0,56
"58",5,4,0.717125092099779,0,58
"61",2,2,0.240111175725305,1,61
"62",1,0,5.96837369506776,1,62
"64",1,2,5.25361189813723,0,64
"65",6,5,0.606254643847933,0,65
"66",1,0,0.508573588286886,0,66
"68",1,2,2.32153585939711,0,68
"69",1,1,0.438912129476613,0,69
"70",2,1,1.58112644737171,0,70
"71",1,0,5.62296174231126,1,71
"73",2,2,5.12305818368977,1,73
"74",3,3,0.92248390789032,0,74
"75",2,5,1.79474224689703,1,75
"76",3,6,2.20125884296784,0,76
"77",5,2,2.48135272047092,0,77
"78",3,4,3.32013951552412,1,78
"81",2,3,1.82090009719269,2,81
"82",6,11,0.567640781548678,1,82
"83",2,0,1.31095153046531,2,83
"89",4,3,1.65949350723638,0,89
"90",4,10,1.97819440286414,1,90
"92",3,2,3.4571100961113,1,92
"96",9,7,3.13188354711338,1,96
"97",3,3,0.186553877782604,1,97
"98",2,2,0.425001107175259,0,98
"100",2,5,2.63545174537452,1,100
"101",2,5,0.389951865584403,0,101
"102",2,4,0.780055169823241,0,102
"104",3,2,5.38416462467864,1,104
"106",1,0,3.47965942305303,0,106
"107",1,2,0.753790910271081,2,107
"108",11,8,3.41259025411509,11,108
"111",2,2,7.7001222284164,0,111
"112",1,2,1.00245501408985,0,112
"113",2,0,1.03013973169756,0,113
"114",3,2,0.312832826488769,1,114
"117",2,3,4.50014419801417,0,117
"118",1,0,3.35050438362899,2,118
"119",4,3,2.80306933269222,2,119
"121",1,1,3.85348371649725,0,121
"123",1,0,1.47934974820486,2,123
"126",1,2,0.47576004767833,0,126
"127",4,5,1.47182974440241,2,127
"128",5,6,0.19071570662565,2,128
"130",3,0,0.773384416824774,1,130
"135",3,3,0.182533530003794,3,135
"136",1,2,0.0994534843432395,1,136
"137",4,1,3.51721170894491,0,137
"139",3,0,2.76909446776843,2,139
"140",1,1,2.8282809201216,2,140
"141",1,4,1.81963973620221,0,141
"146",2,1,0.443375640445285,0,146
"147",2,1,1.24015930990307,1,147
"149",7,9,3.0040794700057,0,149
"152",2,3,1.09567375728109,1,152
"154",1,0,2.5700453924262,2,154
"155",1,1,1.24471261210436,2,155
"157",2,3,3.57533264710616,4,157
"158",2,1,1.67541712417438,3,158
"160",2,14,1.38591555143265,3,160
"162",3,4,0.980063645054788,1,162
"163",3,6,7.00600518826206,1,163
"165",2,4,3.21159886180319,0,165
"166",4,5,2.21892211958766,11,166
"169",2,1,0.482330516642825,2,169
"171",3,2,2.14178795475265,3,171
"172",2,0,3.96037636379105,0,172
"173",4,5,0.243537327756061,4,173
"175",5,5,1.92668055482756,0,175
"177",2,1,2.69428824942146,2,177
"184",4,14,10.8680295242556,0,184
"186",3,2,1.54730073888285,2,186
"187",2,0,3.50891949708654,0,187
"189",1,0,0.325603785715541,0,189
"190",1,5,0.170724022581386,1,190
"193",4,10,2.84196406912444,1,193
"194",1,7,0.195151099081123,1,194
"195",4,6,0.940940913616334,1,195
"196",2,2,4.18477386671232,0,196
"197",9,6,1.0324608984996,0,197
"199",3,3,0.429912502420884,0,199
