"","number_visit","number_posts","time_spend","new_friend","userid"
"1",1,0,1.28869097094451,0,1
"2",4,9,2.40382154721449,1,2
"4",1,1,0.216562821159177,2,4
"5",2,3,0.395300599926135,2,5
"7",4,7,1.10284520130916,0,7
"11",1,1,0.217288931283321,1,11
"21",6,5,4.72126324454647,0,21
"24",4,6,1.91947703133434,0,24
"27",5,5,0.252709332680506,1,27
"33",1,1,2.6879099663061,1,33
"36",4,2,1.82026846120353,3,36
"37",2,3,0.0915830018499694,1,37
"39",1,0,0.11569896648109,0,39
"46",3,9,11.2825748890191,1,46
"49",4,2,0.135546223056026,4,49
"50",1,3,0.0711655941137939,1,50
"52",1,3,0.592595710488738,0,52
"56",2,1,0.112533825176781,2,56
"57",2,4,2.8351052723358,2,57
"59",4,9,1.18901356383637,0,59
"60",4,6,1.22522118863925,0,60
"63",2,3,1.42619348858141,0,63
"64",2,2,8.37397634331371,0,64
"66",3,4,7.02164142280576,0,66
"67",4,3,0.300718373809759,0,67
"69",1,2,0.888853279423197,2,69
"70",3,5,5.01938048894446,0,70
"72",4,4,1.6787685895027,2,72
"74",1,0,1.66606569845407,0,74
"76",4,3,1.39884839306676,1,76
"80",3,3,5.44963947967408,0,80
"81",4,2,0.281158433896244,1,81
"84",1,1,0.0468295467444982,1,84
"85",1,0,2.01889754228359,1,85
"89",1,0,2.10298971246811,0,89
"90",4,7,5.92653262518361,1,90
"93",3,2,2.03331506810705,0,93
"107",2,0,7.53466602615073,1,107
"109",3,5,2.15791769345532,0,109
"110",3,3,6.9989552753661,0,110
"113",2,4,3.2501156418292,1,113
"114",5,11,2.16702738311689,2,114
"121",2,2,3.84937150425032,2,121
"124",1,0,1.27513200653654,1,124
"131",1,1,0.559559814328718,0,131
"132",3,2,2.28648622175162,1,132
"134",1,0,1.73260888871309,2,134
"137",2,3,0.974387763446546,2,137
"139",2,3,2.44274667852851,2,139
"141",2,0,1.1432337433241,1,141
"144",3,3,1.7130807756042,0,144
"145",1,0,0.397892370298215,0,145
"148",1,1,0.902979651275946,2,148
"149",2,0,1.31457453866636,1,149
"151",1,0,1.36922042536887,0,151
"155",2,3,4.83569656533926,1,155
"160",1,2,1.02306805945416,1,160
"161",2,1,1.13051240164113,0,161
"165",4,1,1.67089402884638,1,165
"174",1,3,7.04463484431911,1,174
"175",1,2,1.42756845202187,0,175
"177",3,2,0.876349000037118,0,177
"178",6,5,2.18478809104865,2,178
"181",2,2,7.56351305390309,0,181
"184",6,3,3.95565606575145,2,184
"185",3,8,2.80070842796082,0,185
"188",1,0,1.03562039245853,1,188
"190",3,1,1.91495625229137,0,190
"191",3,7,6.06130434091763,1,191
"195",1,1,4.29994937371964,0,195
"198",4,3,2.44679160509949,1,198
"201",3,3,1.48459396272373,1,201
"202",1,2,3.14632065804343,1,202
"203",2,1,0.434723962126965,0,203
"205",1,1,4.5575900751725,0,205
"209",1,3,3.1037060456197,2,209
"211",3,3,0.346444529564831,0,211
"212",3,4,2.75280434397111,0,212
"213",1,0,2.37552378226773,1,213
"214",1,0,2.00622255115967,1,214
"218",3,6,0.105013774802104,2,218
"221",1,6,0.547955657578916,0,221
"225",3,7,3.39111207643659,2,225
"226",2,1,2.800550649263,0,226
"227",1,1,1.9326696043821,0,227
"228",2,0,1.13446081845207,1,228
"229",3,8,1.00062583227433,2,229
"233",2,1,0.52002635602052,3,233
"234",2,1,1.27830626705699,5,234
"237",3,0,0.629421767734735,0,237
"240",3,2,0.302218348418075,1,240
"241",2,1,1.54476024630641,1,241
"242",2,3,0.12491489710391,0,242
"243",2,4,0.371313426319811,0,243
"244",1,1,3.87655325752477,1,244
"245",1,2,0.0106896151511988,2,245
"247",3,1,1.56175953821951,1,247
"251",2,1,0.536950221461804,2,251
"254",2,1,2.17022442032375,2,254
"256",2,0,3.52939214017837,1,256
"257",2,1,2.39298111324487,0,257
"258",1,2,10.5604825155449,1,258
"260",1,1,4.57162869454643,0,260
"263",3,0,1.67078802217225,2,263
"265",2,2,1.32615093893918,1,265
"267",2,2,6.21473706314831,0,267
"269",3,1,1.3335584379524,4,269
"272",3,1,4.45316280113884,2,272
"275",4,2,5.39717022541977,0,275
"276",4,6,2.03685379685186,0,276
"277",3,0,2.53638852800203,5,277
