"","number_visit","number_posts","time_spend","new_friend","userid"
"1",2,1,7.60826750854694,0,1
"7",1,1,0.6306992716995,1,7
"9",7,3,0.820811590242425,0,9
"10",3,1,3.8001187038873,1,10
"13",2,1,3.66245677101373,0,13
"15",5,2,1.1645568581298,12,15
"16",4,4,1.0418349464014,1,16
"18",4,3,1.90508753596696,0,18
"20",3,0,1.30463229307899,0,20
"21",7,5,0.947383674051062,1,21
"24",3,2,2.81839825271522,0,24
"25",1,1,3.14982039706614,2,25
"26",2,2,6.23156218553916,3,26
"27",7,8,8.31402791846452,1,27
"28",5,4,3.52306707081938,2,28
"29",2,0,0.00527628075519205,4,29
"30",1,0,1.7576699507154,0,30
"31",3,7,2.80289250183412,2,31
"32",4,1,0.376768780416755,2,32
"33",1,0,2.56787282230879,1,33
"35",2,2,4.53109232763153,0,35
"36",2,1,0.498235716488943,1,36
"39",4,3,3.84961858285019,1,39
"40",3,0,3.56109283574103,0,40
"43",7,20,2.63740454177212,1,43
"46",3,3,5.48860691327737,3,46
"48",3,1,0.377131915493463,0,48
"49",4,3,1.19276909645253,0,49
"50",1,2,0.101125298640032,0,50
"51",2,5,0.662425995407379,0,51
"54",3,4,8.53964688771484,1,54
"55",1,1,2.02201541442103,0,55
"56",1,2,1.92055698355301,2,56
"57",1,0,4.29953237580893,0,57
"58",2,4,3.7725571869969,0,58
"59",1,1,1.51698345372031,1,59
"61",2,3,1.36857019306013,1,61
"62",3,1,0.837802865699938,0,62
"63",1,0,7.14911147079011,3,63
"64",1,0,2.39027160235264,0,64
"65",5,2,1.5269606862712,2,65
"66",2,4,2.78337109071543,0,66
"67",1,1,3.08601250277597,0,67
"68",1,2,0.829489899959788,2,68
"70",2,1,3.93408548227739,1,70
"71",2,2,1.48064983392542,0,71
"73",1,3,0.87198943501379,2,73
"75",4,2,0.219277002071939,1,75
"77",1,1,2.30620466021474,2,77
"79",8,2,0.0813735850563216,1,79
"81",2,1,2.54496761050897,1,81
"82",1,4,0.760331327302588,0,82
"84",3,2,4.54851520722968,1,84
"87",2,0,0.142246148931572,0,87
"89",1,0,12.7660408003123,0,89
"90",7,7,3.45833402911412,2,90
"91",4,9,1.98267368121805,1,91
"93",4,4,2.91520161686695,1,93
"95",1,3,2.39039552433252,0,95
"96",1,0,0.357409658905913,0,96
"97",2,1,3.04553423832517,1,97
"99",2,3,0.516855271642498,0,99
"101",2,2,0.600316736682326,0,101
"102",1,0,0.106471774826392,1,102
"103",4,2,2.51160679588745,1,103
