"","number_visit","number_posts","time_spend","new_friend","userid"
"1",4,2,0.140558320449247,0,1
"2",1,1,0.416950514927928,1,2
"3",5,4,5.16791252943824,0,3
"4",2,4,1.04646737463012,1,4
"6",2,0,2.85622450889571,0,6
"9",2,2,1.25602997356829,1,9
"11",2,2,5.99848815776716,4,11
"12",4,2,1.16370074336995,2,12
"14",4,4,6.12850079699287,2,14
"15",8,4,3.75785769205079,19,15
"17",1,0,0.628054360052877,1,17
"19",4,4,0.682598981974562,2,19
"20",4,3,0.913127044544907,1,20
"21",4,6,0.956688678637147,2,21
"23",1,1,2.07372796106783,0,23
"24",2,3,2.36338518545097,0,24
"27",7,8,2.19892563565148,0,27
"28",8,11,0.892068042678136,2,28
"30",2,4,0.160050568329319,0,30
"31",2,1,0.710985370761981,0,31
"33",7,3,6.0757315595259,2,33
"36",3,1,1.80925389616234,0,36
"37",2,2,1.1689112739434,1,37
"38",2,2,2.05902219244542,3,38
"39",6,1,3.2483265398371,0,39
"41",3,2,3.34867169397308,2,41
"43",5,5,3.08110184656425,0,43
"44",3,1,3.13457794588933,0,44
"45",1,3,2.02968516136856,1,45
"46",2,3,1.684041723652,2,46
"47",5,7,4.47188574932832,1,47
"48",2,1,0.159296357540524,0,48
"49",4,2,1.93935535569434,2,49
"50",4,2,0.68316061516354,1,50
"51",4,5,0.0256921308143102,0,51
"52",3,0,4.04464408443429,1,52
"53",5,2,0.323050866875907,3,53
"54",4,2,1.94556840060519,2,54
"55",1,0,6.0319595428452,2,55
"57",2,0,4.02080099635938,1,57
"58",3,7,4.79262601787117,4,58
"59",1,1,1.31640495020193,0,59
"60",3,1,0.700131486503171,1,60
"61",3,1,3.69210355408181,2,61
"63",4,3,0.650323305925495,2,63
"65",1,1,3.80486834518084,3,65
"66",5,10,1.80002453686429,2,66
"67",1,2,2.83380562806389,4,67
"69",1,0,4.87884665115866,0,69
"70",1,0,6.01193806635808,0,70
"71",2,1,2.15400095425699,0,71
"72",2,3,0.594010617301409,3,72
"73",2,3,0.248289357718512,0,73
"75",3,3,0.185912653151533,1,75
"76",3,6,1.07976539234721,0,76
"77",5,7,5.85273027956174,1,77
"78",5,0,1.99139344491827,2,78
"79",5,2,2.95009915663888,0,79
"80",4,2,2.32589860851804,1,80
"82",2,0,3.48782406782676,1,82
"83",1,2,1.92477867680491,0,83
"84",1,0,2.45532879376207,0,84
"85",5,0,1.61357932674178,1,85
"86",4,8,2.48035646116611,0,86
"88",1,3,3.5231427742835,2,88
"89",1,1,0.0290963315869522,1,89
"91",5,13,0.303239011343872,3,91
"92",1,1,1.85569386337739,0,92
"94",2,1,0.497430487986737,2,94
"95",1,1,0.378886726055596,2,95
"96",3,0,1.77035245976624,1,96
"97",1,2,3.76854092216881,1,97
"98",1,0,0.645398015524172,3,98
"99",1,0,1.62618785127043,1,99
"102",1,0,1.35640334254934,0,102
"103",1,0,0.637425367347896,2,103
"104",1,1,2.57811586140505,4,104
"108",6,2,2.81808820040897,17,108
"109",1,1,3.61010679893565,0,109
"110",2,0,0.423485075948769,1,110
"112",2,5,1.05788537928889,0,112
"113",4,4,3.52628729280283,1,113
"118",1,0,5.17173600114873,1,118
"120",4,6,0.162774051552058,1,120
"122",2,7,1.95729078206742,1,122
"123",2,1,0.135048415990812,1,123
"126",2,0,0.651172682557743,2,126
"127",2,1,0.611773654558631,2,127
"129",2,2,3.33262856385905,1,129
"130",5,2,4.31812303681506,3,130
"131",4,1,1.31676648531527,2,131
"132",2,3,0.0458665141000423,1,132
"133",2,0,0.121380831890319,1,133
"135",1,1,0.791151339885002,1,135
"138",1,0,3.96308552413157,1,138
"139",1,1,3.64113855872345,2,139
"140",2,1,0.383770103372946,1,140
"142",6,3,1.43798966841264,0,142
"143",1,0,0.152196230623743,1,143
"144",3,1,1.35905839098292,0,144
"146",3,3,4.40389826101238,0,146
"147",1,0,0.175367320356572,4,147
"148",2,0,3.84870676503855,0,148
"149",3,3,4.53362313205071,0,149
"151",1,1,2.7441740245709,0,151
"152",2,1,0.518584641921257,0,152
"153",8,5,7.66733064524382,0,153
"154",1,0,0.268595348213716,0,154
"156",2,2,0.592652252576884,0,156
"157",3,0,8.21648983343233,0,157
"158",4,2,2.58695575030783,1,158
"160",3,1,2.09456144145704,1,160
"161",1,0,1.72439484151379,0,161
"164",5,0,0.429744142023,1,164
"165",5,9,0.125811356598862,0,165
"166",5,5,2.93382532475516,17,166
"167",1,0,0.145822360648992,1,167
"168",4,7,12.6144262945321,0,168
"169",1,1,1.19679117858501,0,169
"170",6,4,3.21504092990698,1,170
"171",3,1,0.398621664607588,0,171
"173",2,2,1.03894266741056,0,173
"174",2,1,0.0618824745054194,1,174
"176",5,2,0.179187077087417,0,176
"177",2,1,2.1259116635609,1,177
"178",3,1,4.61196615833961,1,178
"179",5,9,3.84468567361273,1,179
"180",2,3,6.13334043706909,1,180
"183",2,0,0.0418543054758449,1,183
"184",3,2,1.26235248376377,3,184
"185",1,2,0.424547339231986,2,185
"188",4,8,4.45184826078871,1,188
"189",4,4,3.42453756239522,0,189
"190",2,2,0.154663778244941,4,190
"191",3,0,0.470855595116324,1,191
"192",2,3,1.21224801186191,1,192
"193",1,1,0.522499268225593,0,193
"194",3,3,0.952613766732174,1,194
"195",1,0,0.164530517074052,0,195
"196",2,2,1.41006091089938,1,196
"197",2,5,0.427086909538222,1,197
"198",3,0,0.193837248530935,0,198
"199",2,2,0.1852403729547,1,199
"200",1,1,1.77870777121325,0,200
"202",6,10,0.157313957399169,1,202
"203",3,3,0.458967387943012,0,203
"204",2,0,0.756977189445996,3,204
"206",4,4,0.445261260142197,1,206
"207",1,1,2.40139135634101,3,207
"208",1,4,8.1024559981159,2,208
"210",3,5,3.33973753148235,2,210
"211",2,2,0.278795920623334,0,211
"212",1,0,0.386666463766091,0,212
"213",6,4,0.414415649324656,1,213
"217",4,8,0.465551024495528,2,217
"218",5,2,0.229215459349813,0,218
"219",4,4,0.409926965850123,1,219
"220",6,1,0.153903002298272,2,220
"221",1,2,1.61146593823596,0,221
"222",2,3,3.4882246033893,3,222
"224",2,4,0.462283562868834,0,224
"227",3,0,3.67597602679045,1,227
"228",6,2,2.19339075033886,1,228
"229",1,3,0.808362025373331,3,229
"230",3,3,0.177660083025694,2,230
"231",3,0,0.938280609206037,2,231
"232",3,3,6.71457372975032,1,232
"233",3,4,2.78888350997197,0,233
"234",3,1,4.54748105273225,2,234
"237",3,2,1.26756440609301,3,237
"239",3,7,1.76308144207129,0,239
"240",1,3,4.34176154392311,1,240
"242",2,2,1.49046695370957,2,242
"245",2,3,12.8762653671895,0,245
"246",5,5,4.2815592510779,3,246
"247",2,2,0.815784836071067,0,247
"248",1,0,2.78980149719666,0,248
"249",1,0,0.88125633457548,1,249
"252",1,1,6.82493153457263,2,252
"253",2,6,0.670546744294491,2,253
"255",8,3,1.99126033724419,19,255
"257",1,1,0.289435596368911,1,257
"258",3,2,1.51723398154601,5,258
"259",3,3,3.90957507840604,0,259
"260",2,5,2.10394034632488,0,260
"261",3,8,0.190649720582396,0,261
"262",3,5,1.5608954406106,0,262
"263",4,16,4.39884559169167,0,263
"264",3,1,1.2882492150213,0,264
"266",1,3,3.6699317461236,0,266
"269",1,1,0.322951024891686,1,269
"270",5,4,2.31121133779096,1,270
"272",2,3,0.00602992733245878,1,272
"274",1,1,0.00698417026464142,1,274
"276",4,1,2.99786385915626,0,276
"277",2,1,3.85312661243493,1,277
"278",1,0,0.552387322834198,1,278
"279",4,1,2.75712239955714,5,279
"280",1,1,1.67496215067354,0,280
"283",2,0,1.2598581366241,4,283
"285",3,2,2.36178126249898,1,285
"286",6,8,0.314150380003646,1,286
"288",1,0,3.6941527479049,1,288
"289",4,5,1.46271992407062,1,289
"291",3,2,1.52100989691015,0,291
"295",1,1,4.2718097221269,1,295
"298",2,0,1.36095173464057,1,298
"299",3,1,0.27070524018515,0,299
"300",1,2,1.1078486493957,1,300
"301",1,0,1.41671551705663,0,301
"302",2,9,2.25884122304992,3,302
"303",1,0,5.93198349882628,0,303
"304",3,2,4.54243494355848,1,304
"305",3,1,3.89726397431297,0,305
"307",1,2,0.714865347275795,1,307
"310",2,1,1.5028352173523,2,310
