"","number_visit","number_posts","time_spend","new_friend","userid"
"1",2,0,1.15065039636339,0,1
"3",3,3,1.14554155648488,1,3
"4",3,3,2.11907980634196,0,4
"5",2,1,1.27619682520367,2,5
"7",3,1,3.29662407948855,1,7
"9",3,0,0.0225267860319388,2,9
"10",1,0,4.47841679077663,1,10
"12",1,0,5.84197540498931,2,12
"14",1,2,1.98998017363828,0,14
"15",7,3,1.27938297577202,10,15
"20",1,1,1.00475306583698,0,20
"27",1,0,1.85673049308283,2,27
"28",3,2,5.75213345886378,1,28
"36",1,0,1.21241190043584,0,36
"37",1,0,2.42078481156256,1,37
"39",1,1,6.06357033485789,2,39
"40",1,2,0.283942145715357,3,40
"41",2,3,0.565423700027168,2,41
"42",2,0,3.4167745701578,2,42
"44",1,1,1.63132816858286,0,44
"46",2,0,2.22394236088376,1,46
"48",2,0,1.20400427479879,1,48
"49",1,1,3.23132696953597,1,49
"57",1,1,0.537480227046519,0,57
"59",4,7,0.639363841410283,2,59
"60",3,2,1.09898688927503,2,60
"62",2,0,0.159035279813777,3,62
"64",2,2,4.27201470608703,1,64
"65",4,7,0.376955785395694,2,65
"66",1,2,1.73354369777341,1,66
"68",1,2,0.197188471157589,1,68
"71",2,3,3.31150866607023,0,71
"77",2,0,2.20946836366166,2,77
"78",2,1,3.46079118310629,1,78
"79",3,1,3.24116377610335,0,79
"81",2,2,1.3057389572594,1,81
"82",5,7,3.86981995023159,0,82
"83",5,0,0.21712990825422,3,83
"84",2,3,0.124099182001297,1,84
"88",5,7,3.61792282871876,0,88
"89",3,5,1.1477318494657,1,89
"91",1,0,0.940235145104844,1,91
"94",1,0,1.64518274559885,1,94
"95",2,2,1.70255505344935,0,95
"96",1,3,1.61546422894471,0,96
"97",3,3,0.521700660555348,2,97
"99",1,1,3.20988866721823,0,99
"102",2,1,1.87126458045727,1,102
"104",4,1,7.39173319504794,0,104
"108",4,4,2.65712050674483,12,108
"113",2,5,14.9706747487914,1,113
"114",2,0,0.0401753702869927,1,114
"118",1,3,1.699738447352,1,118
"121",4,1,0.70776996485056,1,121
"127",3,3,0.358789414458298,1,127
"132",3,0,2.14424760767729,0,132
"133",1,1,3.03427518705381,4,133
"137",1,0,2.97287523345562,0,137
"138",3,1,1.01304895429138,0,138
"141",2,7,1.6967795006275,1,141
"142",4,5,1.42264325815168,1,142
"143",3,0,1.79832796190956,0,143
"144",2,0,1.91937164445998,3,144
"145",1,2,4.88233487850566,0,145
"146",2,2,1.58710883944123,1,146
"148",1,1,1.19272038360842,0,148
"150",2,4,0.253112545406277,2,150
"152",2,0,3.15093055571493,2,152
"153",4,1,0.654495031657544,1,153
"156",5,3,0.107063355665762,2,156
"159",4,6,3.59412507116264,2,159
"160",2,2,0.341435120236039,0,160
"163",1,0,1.4758587019941,1,163
"165",2,0,0.824247555170482,2,165
"166",4,4,2.73808008246124,17,166
"171",2,3,0.0480410227771445,0,171
"172",5,9,5.81919857978377,1,172
"173",4,5,0.800336875448249,1,173
"174",3,5,1.77570648912122,1,174
"177",2,0,1.64908565518606,1,177
"178",3,1,1.9792591131026,1,178
"179",2,6,2.6693691691679,1,179
"185",2,2,0.236796944162329,0,185
"187",3,0,0.883401107325015,3,187
"188",4,6,2.39884346462858,1,188
"189",2,4,8.70981300591644,1,189
"192",6,3,0.712617691896691,1,192
"193",1,1,0.0246847803840154,1,193
"195",2,2,3.38524437833739,0,195
"197",5,5,10.9279212227279,0,197
"199",2,0,0.423954983205334,0,199
"202",2,0,2.43827408495015,0,202
"207",3,0,6.83405680557137,2,207
"208",6,9,1.07314893018073,1,208
"210",2,1,5.08391803668824,1,210
"212",2,1,2.22171287920149,1,212
"216",1,1,4.84400436812952,2,216
"218",9,16,6.37202658908898,1,218
"219",3,5,1.7193201781784,1,219
"221",1,1,0.0370922523313987,0,221
"223",5,6,1.19017839616636,0,223
"224",5,5,4.42354529400397,1,224
"226",4,9,1.22980745598598,1,226
"227",1,2,0.545650415827761,2,227
"228",5,4,0.046120574541181,3,228
"229",1,1,0.365362622189323,1,229
"231",6,5,0.155679389556311,0,231
"233",1,0,0.292471618956382,0,233
"235",1,0,4.64569530876357,0,235
"236",2,8,1.79283950269862,0,236
"237",2,4,0.0520170223448076,1,237
"243",2,3,2.75528827149826,0,243
"244",2,1,5.52642998520553,0,244
"245",3,1,0.102405798233318,0,245
"248",3,0,0.0128192627188815,0,248
"249",2,2,1.02751109463303,1,249
"250",2,2,0.948365243586109,0,250
"252",1,4,0.304603562627024,1,252
"254",1,0,3.31406080900032,1,254
"256",2,5,1.63571466503293,1,256
"258",2,0,0.928791989032179,0,258
"260",1,0,0.582065746859113,0,260
"261",6,0,0.712460123606552,0,261
"264",2,2,0.905774477557833,0,264
"265",4,1,0.147334691972725,0,265
"271",2,0,1.59727477729968,1,271
"273",3,4,0.979338490971887,0,273
"274",2,1,0.381983516579967,1,274
"281",2,0,3.70789312538945,1,281
"283",2,0,3.82584689835411,2,283
"284",3,3,0.572729357469203,1,284
"285",4,3,7.06066118550485,1,285
"286",5,7,5.06434564835141,0,286
"291",1,1,1.75757249487761,0,291
"293",2,1,0.311440004559951,1,293
"294",3,2,0.0967321939112162,1,294
"297",2,0,1.55301366812519,1,297
"300",1,1,8.25907685041477,0,300
"304",2,2,1.43041596221072,1,304
"309",1,2,0.928332247979028,0,309
"311",2,0,5.86763247607306,2,311
"313",1,0,0.19455821416203,1,313
"314",5,3,0.78014927042652,0,314
"315",3,3,5.02863715671887,0,315
"317",5,7,3.34261876163534,1,317
"321",7,2,0.219673170461399,3,321
"322",3,4,2.02706618887224,3,322
"325",2,2,0.22016521321039,2,325
"329",1,1,0.417179356667746,3,329
"330",1,1,0.989421614794664,1,330
"331",1,0,2.14271659975087,0,331
"332",4,5,0.458935449950423,2,332
"333",4,8,2.3132028665685,1,333
"335",2,2,0.170108089975361,0,335
"338",3,6,0.715469590642235,0,338
"339",3,3,0.23159842044989,0,339
"340",7,9,4.47949845799625,4,340
"341",3,7,2.35890807738621,2,341
"344",3,2,0.394439829792053,1,344
"346",4,6,2.16640723172131,0,346
"347",2,1,5.00897430463152,0,347
"350",1,0,4.89683840794755,1,350
"351",3,2,0.315749038148809,1,351
"354",1,1,1.53262152466597,1,354
"356",1,1,0.178764236223366,2,356
"359",3,2,4.18211520189535,0,359
"360",3,3,0.441370595084041,1,360
"361",4,0,6.62376703717146,1,361
"363",3,4,0.610994480594563,0,363
"364",2,0,7.94775515390638,1,364
"365",3,6,0.0582770864963991,0,365
"366",4,6,5.84439208938605,3,366
"368",6,4,1.13548408742052,0,368
"369",3,6,1.22550047586506,1,369
"370",3,8,1.83071717904374,3,370
"376",7,8,0.120674936436434,0,376
"377",4,6,0.70072041945532,1,377
"378",2,1,8.62323656136245,1,378
"380",2,4,3.45024242129538,1,380
"382",1,1,3.47835273388546,0,382
"383",4,7,5.80926199562826,0,383
"384",2,4,1.25254807052917,3,384
"386",3,3,12.6094170483393,1,386
"387",5,5,0.153584190818334,0,387
"388",7,9,0.00252997031602825,1,388
"391",1,2,0.814338925097437,0,391
"394",1,1,0.903593783768324,1,394
"397",2,1,3.3957258470228,1,397
"398",4,8,0.670805467561234,1,398
"399",1,1,1.28207752863308,0,399
"400",3,3,2.30458726695661,2,400
"401",2,2,4.71140527661218,2,401
"402",1,0,5.27041278954484,1,402
"406",2,2,0.408111049396836,2,406
"411",4,8,1.2025412710404,0,411
"412",1,1,1.12419591548712,0,412
"414",1,2,4.24916819288265,3,414
"415",3,1,0.0471160401628061,1,415
"416",1,0,3.08665957371022,0,416
"417",5,9,1.0770653201284,2,417
"420",4,4,0.0276750884950161,2,420
"422",2,1,0.179943783808563,0,422
"424",2,0,1.43993424806889,1,424
"426",2,1,3.6441718968245,1,426
"430",2,2,3.31024832274819,1,430
"431",3,2,1.24498270674903,1,431
"434",2,1,0.186022377362139,0,434
"436",2,0,2.00120393906063,1,436
"437",5,5,0.586983509880686,3,437
"438",6,2,1.2630092731931,0,438
"441",4,5,6.01073157990533,2,441
"444",2,0,0.190877243921521,0,444
"447",1,0,1.98162874548468,0,447
"450",1,1,0.00555338581551479,0,450
"452",1,1,2.65499949469596,1,452
"454",1,1,3.68565025343642,0,454
"456",7,2,1.25830573104322,1,456
"459",2,3,0.00483036219984338,2,459
"464",5,3,1.11385822854936,20,464
"465",4,1,0.348405379172686,1,465
"467",2,2,0.887833832347205,0,467
"472",1,3,3.48261480793808,0,472
"473",2,2,0.43756478793791,0,473
"474",3,1,4.2161840627854,0,474
"479",3,2,5.30997475015051,0,479
"482",1,2,8.84239020200053,0,482
"485",2,4,2.12461437521396,3,485
