"","number_visit","number_posts","time_spend","new_friend","userid"
"2",1,4,1.67120048199565,0,2
"3",4,3,0.877506217965093,1,3
"4",1,0,4.26893755406583,3,4
"5",1,0,0.58638653864986,2,5
"6",1,2,0.599588520977585,1,6
"7",2,2,7.57136305801843,0,7
"12",2,0,0.490061689454693,0,12
"16",4,3,5.3773906413416,1,16
"17",1,1,2.63587657062662,0,17
"18",1,0,0.27878724551275,0,18
"25",3,7,2.23888462553985,1,25
"27",4,2,1.2400721441713,3,27
"30",1,0,0.267003649955186,1,30
"31",1,0,2.09115327991372,0,31
"33",8,10,0.338163682248838,0,33
"37",1,2,0.810362916330204,2,37
"38",2,0,0.05073290734859,1,38
"39",6,9,0.132917382460485,0,39
"41",1,2,0.44996435487909,0,41
"42",1,0,0.00207668422981657,0,42
"43",2,2,3.53218039348953,3,43
"45",2,0,5.119917562207,1,45
"46",4,2,0.302543071697333,0,46
"51",3,2,2.30470705380459,0,51
"57",1,1,2.2076087754469,4,57
"58",1,1,0.476408797392059,0,58
"62",2,2,4.13038483728076,0,62
"69",2,3,1.22565923978168,1,69
"70",3,0,6.37327570585671,2,70
"76",1,0,3.46859620417,2,76
"78",1,0,3.18940194536707,0,78
"79",2,1,0.067758628558838,1,79
"80",2,2,1.65116191693281,2,80
"81",2,3,0.2878226352684,1,81
"83",3,0,2.56682323560271,1,83
"88",1,3,1.86407008437206,1,88
"89",1,0,1.83529747116014,2,89
"90",5,6,1.43816558689749,0,90
"92",2,0,2.79747070158905,1,92
"94",1,0,0.807455118254636,1,94
"95",3,5,0.742917389080331,0,95
"96",4,1,7.0941303587601,0,96
"97",6,1,0.689999046935338,1,97
"100",1,1,2.73404951027758,0,100
"104",8,14,5.13371649415549,1,104
"105",1,5,0.860876746508232,3,105
"106",2,3,3.18482771172589,1,106
"111",2,1,6.89201810180618,1,111
"114",3,1,7.01009172135137,2,114
"117",2,2,5.01559389604063,2,117
"119",7,9,2.44450153469002,0,119
"121",2,1,0.197386467338718,0,121
"122",7,3,0.391939675646212,0,122
"125",3,1,3.93830624441656,2,125
"126",4,5,2.88917964212195,1,126
"127",3,1,0.135220264035883,2,127
"129",3,4,0.115124854249441,0,129
"130",4,4,0.782214892098479,0,130
"131",3,3,2.06837743068973,2,131
"132",5,2,0.485398843754585,2,132
"134",4,5,5.15276630903782,0,134
"137",3,1,3.78029337875235,4,137
"138",1,1,2.43088037147277,1,138
"142",1,1,1.30639566006986,0,142
"144",6,10,2.42010188703574,0,144
"146",3,5,2.19708351063484,1,146
"147",3,2,4.20547635071138,1,147
"148",3,5,3.14599002654533,2,148
"151",4,0,1.71770973612169,2,151
"152",2,1,0.678345181583041,0,152
"154",7,6,0.0534390289299559,0,154
"158",2,3,2.26476516243893,0,158
"159",2,2,0.864739663941514,1,159
"162",2,3,3.95252656191332,1,162
"169",6,14,2.41552129103058,0,169
"172",7,3,0.298917843471878,0,172
"174",1,1,1.31042878342581,1,174
"175",5,4,2.38579059985691,1,175
"177",2,2,1.91720232590064,1,177
"179",1,2,1.04275008988989,1,179
"180",2,0,1.22578161362282,1,180
"181",3,3,3.90789437596864,3,181
"182",5,11,1.96866905472623,2,182
"184",4,9,7.34011052958119,0,184
"185",6,3,4.03533484499687,2,185
"188",6,2,0.535107948063061,1,188
"191",8,11,3.67923882051573,1,191
"193",2,2,4.7884800275501,0,193
"195",3,1,1.82187362029274,0,195
"196",4,6,1.61451632437952,1,196
"199",3,4,0.238531713885273,1,199
"200",2,1,0.0996139763754542,1,200
"202",2,3,4.58360404353699,0,202
"203",1,2,2.98549765913795,1,203
"204",5,1,4.64611862618104,2,204
"211",1,1,3.37584991633188,1,211
"213",10,5,5.13117315944977,1,213
"216",3,4,4.18490053777657,0,216
"217",2,5,1.36414132809973,0,217
"220",4,4,0.26499752476043,1,220
"221",5,3,4.99208177041246,1,221
"226",3,1,2.33905537895664,1,226
"227",1,2,0.486551390491114,0,227
