"","number_visit","number_posts","time_spend","new_friend","userid"
"1",4,2,3.41175104277384,1,1
"3",1,0,0.154111558130879,1,3
"7",2,4,0.670398422483714,1,7
"8",1,0,4.01601901366291,1,8
"10",3,4,0.702354475019255,1,10
"15",4,5,1.02030079532415,13,15
"18",2,2,1.82216096101774,0,18
"22",4,12,0.160841195960491,0,22
"24",2,3,4.04039903508625,1,24
"25",4,9,2.00627790532851,0,25
"27",3,1,4.22493246256836,0,27
"29",4,7,4.9083568781355,2,29
"30",2,5,1.27437213887456,1,30
"31",4,3,2.21789343073259,1,31
"33",3,5,1.65035942245776,1,33
"36",1,3,1.18568683893372,0,36
"40",3,6,6.38783659341009,1,40
"42",3,4,1.2602546386737,2,42
"43",3,2,3.34263332791753,0,43
"44",4,3,1.45424882810894,0,44
"46",3,4,6.42257921361678,4,46
"48",3,3,1.00285133033793,1,48
"49",3,3,0.259238476175966,1,49
"50",2,3,0.0126790152247082,1,50
"53",1,3,2.00157248429625,1,53
"54",7,6,1.04542823480128,0,54
"55",1,0,1.16836339632703,0,55
"56",1,2,1.43152204627494,1,56
"60",6,7,1.49569955006452,4,60
"63",3,3,0.318783293536128,2,63
"67",1,2,0.650472407116484,0,67
"69",3,2,0.26229594797165,1,69
"70",4,2,1.18457500229878,1,70
"71",2,0,0.0343717634392643,0,71
"73",3,1,4.93438604828659,1,73
"75",4,3,1.08045766137883,1,75
"76",2,1,0.530510669117493,1,76
"79",8,4,1.65957715129114,0,79
"83",3,1,6.3134299914178,1,83
"85",2,0,3.90064368298881,1,85
"87",4,2,0.392390527054221,0,87
"92",3,2,2.57406546460598,4,92
"93",2,4,0.731891899598095,0,93
"95",1,2,2.76257583812059,2,95
"96",3,1,2.07930541381133,3,96
"100",1,0,1.51668442873896,0,100
"101",4,4,8.61137717023128,1,101
"103",2,4,7.90615960102806,0,103
"104",7,6,1.45217700211171,0,104
"105",3,3,1.08527462295049,1,105
"107",1,1,0.151176272363929,2,107
"109",1,1,0.832484307086597,3,109
"116",3,5,0.618135528058507,1,116
"119",3,0,4.40814177402675,0,119
"120",5,6,1.47340060151302,2,120
"122",5,9,0.968856296228431,1,122
"124",3,3,0.683139845435874,2,124
"127",1,2,1.08683884348535,0,127
"132",2,3,2.94577760848581,0,132
"135",1,1,2.16956109848672,0,135
"140",2,3,1.19567414293715,1,140
"142",4,0,4.83977372374998,1,142
"143",2,2,1.92963917915115,1,143
"150",4,2,3.97199992139865,0,150
"151",3,1,5.71173437137322,1,151
"152",3,1,2.06593721098845,4,152
"153",7,10,3.32428343454502,0,153
"154",2,4,1.9340616437881,2,154
"156",3,2,2.75113113056232,2,156
"159",1,5,0.276609994126039,1,159
"161",3,0,5.27516952407964,0,161
"162",4,5,7.946307382517,0,162
"164",2,5,4.18457018362484,2,164
"165",2,5,1.92263268622486,0,165
"166",3,3,1.27309488831088,19,166
"170",4,3,0.746064747372778,0,170
"171",6,11,6.33467806408515,1,171
"172",6,14,1.55536824390292,0,172
"173",3,5,0.982855534516354,0,173
"174",4,8,4.41541123192292,0,174
"177",2,3,3.01240950335867,0,177
"178",1,1,2.97128993569686,0,178
"181",5,2,0.360617928353396,0,181
"182",1,0,0.192977577395764,0,182
"184",4,3,1.1212128090027,1,184
"187",1,3,3.88744395432326,1,187
"189",3,1,5.81850923127025,1,189
"192",1,1,1.73622115401499,0,192
"193",2,1,0.938977723787012,0,193
"195",5,7,4.56322638302245,3,195
"196",2,0,0.52177212829568,1,196
"198",3,2,2.31151540529194,0,198
"200",4,4,0.744342435114455,2,200
"201",2,0,9.8730793177544,1,201
"202",5,1,2.64100464163403,1,202
"207",2,0,1.09368776462776,0,207
"211",4,16,5.87844840715748,0,211
"212",1,1,3.29053075463897,0,212
"213",4,3,1.39148017242551,0,213
"214",3,0,0.603506645825285,3,214
"216",6,4,0.300086858184811,0,216
"219",5,7,3.23875635046922,0,219
"221",2,4,15.5283519183317,0,221
"222",2,1,0.56169386106751,2,222
"223",1,1,10.0022912603606,1,223
"226",5,5,0.0503110170787786,1,226
"229",1,0,0.491674399018489,0,229
"230",1,2,2.45029048954411,0,230
"231",2,0,0.731434380157646,1,231
"237",5,3,0.19029169228709,2,237
"240",2,3,0.686835197584827,1,240
"241",2,0,0.57240436874247,0,241
"244",2,0,1.06226796613153,1,244
"246",6,6,0.0832114631627716,3,246
"250",1,1,6.00373096532712,2,250
"252",1,0,4.88874742255738,2,252
"253",7,9,1.59642373232781,2,253
"254",5,4,3.4257920782462,2,254
"257",2,3,6.03688905136788,0,257
"258",3,1,3.56734614948472,0,258
"262",2,1,1.42842927592715,1,262
"263",5,2,0.335980534336671,1,263
"266",3,2,0.528330023103255,1,266
"268",1,2,0.0489337400999535,0,268
"270",4,8,3.13163112539424,0,270
