,age,gender,relation_status,hometown,living,perference,total_action,sign_up,last_login,userid
1,23,0,2,6,1,4,253,2013-03-10,2013-10-07,1
2,50,1,4,4,4,6,119,2013-03-10,2013-10-07,2
3,49,1,4,2,3,4,230,2013-02-08,2013-10-07,3
4,23,1,4,4,4,5,207,2013-03-10,2013-10-07,4
5,23,0,4,4,4,5,98,2013-01-07,2013-10-05,5
6,14,1,2,5,5,6,105,2013-03-10,2013-10-07,6
7,28,0,4,4,5,5,304,2013-04-08,2013-10-06,7
8,23,1,2,3,3,1,51,2013-03-08,2013-10-05,8
9,24,1,2,2,2,3,190,2013-02-08,2013-10-07,9
10,17,1,4,6,6,4,120,2013-03-09,2013-10-06,10
11,25,0,1,6,1,3,110,2013-03-10,2013-10-07,11
12,18,0,2,2,3,2,382,2013-04-09,2013-10-07,12
13,26,0,2,4,5,2,57,2013-02-07,2013-10-06,13
14,24,1,4,6,1,6,163,2013-04-09,2013-10-07,14
15,26,1,1,3,3,5,2409,2013-10-03,2013-10-07,15
16,33,1,1,4,4,4,103,2013-04-08,2013-10-06,16
17,24,1,4,1,1,1,48,2013-04-09,2013-10-07,17
18,19,1,1,4,4,6,51,2013-04-08,2013-10-06,18
19,24,1,1,5,5,3,140,2013-03-10,2013-10-07,19
20,28,1,4,1,1,4,122,2013-05-09,2013-10-07,20
21,20,1,1,1,1,2,322,2011-04-20,2013-10-07,21
22,29,1,4,5,6,4,42,2013-04-07,2013-10-05,22
23,15,1,1,1,2,1,66,2013-04-09,2013-10-07,23
24,20,0,2,4,5,4,233,2012-04-14,2013-10-07,24
25,25,0,2,5,5,6,147,2013-04-08,2013-10-06,25
26,24,0,1,3,3,1,42,2011-11-15,2013-10-06,26
27,18,0,1,5,6,4,755,2010-10-22,2013-10-07,27
28,21,0,2,1,1,2,324,2012-04-14,2013-10-07,28
29,29,1,4,4,5,6,146,2013-04-08,2013-10-06,29
30,17,0,1,3,4,1,94,2012-10-11,2013-10-07,30
31,42,0,1,4,5,5,140,2013-04-09,2013-10-07,31
32,21,0,4,4,4,6,146,2012-03-14,2013-10-06,32
33,18,1,1,3,3,2,590,2010-01-25,2013-10-07,33
34,14,1,1,6,1,5,34,2013-02-06,2013-10-05,34
35,20,0,1,1,1,1,143,2013-04-08,2013-10-06,35
36,31,0,4,1,2,3,147,2013-04-09,2013-10-07,36
37,26,1,2,6,6,6,92,2013-01-09,2013-10-07,37
38,14,1,1,5,5,5,139,2013-04-09,2013-10-07,38
39,21,0,1,5,5,5,636,2013-03-10,2013-10-07,39
40,21,0,1,4,4,5,169,2012-10-10,2013-10-06,40
41,30,1,2,3,3,1,116,2013-05-09,2013-10-07,41
42,14,0,2,2,2,3,129,2013-06-06,2013-10-05,42
43,48,1,4,1,1,2,416,2013-04-09,2013-10-07,43
44,25,0,4,5,5,2,133,2013-04-09,2013-10-07,44
45,21,1,2,2,3,1,87,2013-03-10,2013-10-07,45
46,31,0,4,5,5,3,845,2013-04-09,2013-10-07,46
47,24,1,2,3,3,3,82,2013-02-08,2013-10-07,47
48,19,1,4,5,5,5,117,2013-02-08,2013-10-07,48
49,22,0,2,5,5,5,284,2012-09-11,2013-10-07,49
50,17,0,2,5,5,4,63,2013-02-08,2013-10-07,50
51,25,0,4,2,2,2,80,2013-04-09,2013-10-07,51
52,47,1,4,6,1,4,51,2013-04-09,2013-10-07,52
53,47,1,4,6,6,4,63,2013-05-09,2013-10-07,53
54,19,1,2,4,4,4,280,2012-12-10,2013-10-07,54
55,25,0,2,3,3,4,54,2013-03-10,2013-10-07,55
56,23,0,1,1,1,2,114,2013-04-08,2013-10-06,56
57,17,1,1,5,5,5,192,2012-12-10,2013-10-07,57
58,37,1,4,1,1,1,213,2013-04-09,2013-10-07,58
59,31,1,4,2,2,3,102,2013-04-09,2013-10-07,59
60,26,0,4,2,3,1,233,2013-04-09,2013-10-07,60
61,15,0,1,5,5,6,116,2013-02-08,2013-10-07,61
62,18,1,2,4,5,5,161,2013-04-08,2013-10-06,62
63,17,1,1,5,5,5,237,2012-12-10,2013-10-07,63
64,26,1,1,1,1,5,180,2013-04-08,2013-10-06,64
65,18,1,1,3,3,2,298,2013-05-09,2013-10-07,65
66,17,0,1,4,4,4,264,2013-03-10,2013-10-07,66
67,29,1,3,4,4,4,97,2013-04-09,2013-10-07,67
68,32,0,1,1,1,2,38,2013-03-09,2013-10-06,68
69,14,1,4,1,1,2,123,2013-02-08,2013-10-07,69
70,14,1,1,6,6,5,455,2013-04-09,2013-10-07,70
71,23,0,1,2,3,2,154,2013-04-09,2013-10-07,71
72,18,0,2,5,5,6,87,2013-05-09,2013-10-07,72
73,23,0,2,6,6,4,165,2013-02-08,2013-10-07,73
74,29,0,4,6,1,4,18,2013-04-07,2013-10-05,74
75,18,0,2,5,5,4,183,2013-04-09,2013-10-07,75
76,46,1,4,6,6,4,218,2013-05-09,2013-10-07,76
77,16,0,1,4,4,5,311,2013-04-09,2013-10-07,77
78,28,0,4,4,5,4,207,2013-04-09,2013-10-07,78
79,19,0,1,2,2,1,350,2009-11-26,2013-10-07,79
80,41,0,4,1,1,3,145,2013-04-09,2013-10-07,80
81,24,1,1,4,4,4,234,2012-04-13,2013-10-06,81
82,25,0,2,4,5,5,239,2013-02-08,2013-10-07,82
83,22,0,1,4,4,5,346,2013-02-08,2013-10-07,83
84,27,1,3,6,1,5,97,2013-04-09,2013-10-07,84
85,30,1,1,6,6,2,125,2013-04-09,2013-10-07,85
86,18,0,2,3,4,1,29,2012-08-12,2013-10-07,86
87,19,1,2,4,4,6,29,2013-01-08,2013-10-06,87
88,18,1,4,2,2,4,150,2013-02-08,2013-10-07,88
89,37,0,1,2,2,3,335,2013-06-08,2013-10-07,89
90,18,1,2,4,4,6,412,2012-10-10,2013-10-06,90
91,27,1,1,2,2,2,146,2013-04-09,2013-10-07,91
92,31,0,4,5,6,6,185,2013-03-10,2013-10-07,92
93,25,0,2,2,2,2,102,2013-03-09,2013-10-06,93
94,16,1,4,5,5,1,57,2013-03-10,2013-10-07,94
95,14,1,4,5,6,1,153,2013-04-09,2013-10-07,95
96,22,0,2,3,3,3,547,2013-02-08,2013-10-07,96
97,37,1,1,4,4,5,265,2013-04-09,2013-10-07,97
98,35,0,1,4,5,6,39,2013-02-08,2013-10-07,98
99,19,1,4,3,3,5,50,2012-12-10,2013-10-07,99
100,25,1,1,5,5,3,81,2013-04-07,2013-10-05,100
101,18,1,2,4,4,5,111,2013-02-07,2013-10-06,101
102,17,0,1,5,5,5,71,2013-01-09,2013-10-07,102
103,10,1,1,1,2,2,117,2012-09-11,2013-10-07,103
104,22,1,1,4,4,5,917,2012-12-10,2013-10-07,104
105,47,0,4,3,4,6,141,2013-04-08,2013-10-06,105
106,36,0,4,1,1,3,136,2013-04-08,2013-10-06,106
107,42,0,4,6,6,4,135,2013-02-07,2013-10-06,107
108,43,1,4,4,4,5,2197,2013-10-04,2013-10-07,108
109,19,1,4,1,1,1,166,2012-12-10,2013-10-07,109
110,27,1,2,3,3,2,155,2013-05-09,2013-10-07,110
111,19,0,1,1,1,2,125,2010-02-23,2013-10-06,111
112,15,1,2,6,6,5,94,2013-02-08,2013-10-07,112
113,18,0,2,4,4,4,337,2012-09-11,2013-10-07,113
114,21,1,2,5,6,6,320,2012-09-10,2013-10-06,114
115,26,1,2,2,2,2,0,2012-12-20,2013-07-19,115
116,27,1,2,6,1,5,32,2013-04-08,2013-10-06,116
117,14,1,1,5,5,4,149,2013-04-08,2013-10-06,117
118,25,1,1,1,2,3,139,2013-02-08,2013-10-07,118
119,20,1,2,4,4,5,249,2011-06-18,2013-10-06,119
120,21,0,1,4,4,5,83,2011-10-17,2013-10-07,120
121,14,0,2,4,4,6,212,2013-04-08,2013-10-06,121
122,18,0,2,6,1,5,184,2012-12-10,2013-10-07,122
123,23,0,4,2,2,3,39,2013-04-09,2013-10-07,123
124,50,1,2,5,5,6,52,2013-04-08,2013-10-06,124
125,24,1,1,5,5,6,69,2012-12-09,2013-10-06,125
126,22,0,2,5,5,6,226,2012-09-11,2013-10-07,126
127,28,1,1,5,5,4,153,2013-03-10,2013-10-07,127
128,15,0,1,2,2,2,54,2013-04-08,2013-10-06,128
129,25,1,2,1,1,1,60,2013-03-10,2013-10-07,129
130,19,1,1,3,3,6,271,2012-05-14,2013-10-07,130
131,14,0,4,6,6,6,159,2013-04-09,2013-10-07,131
132,21,0,1,1,1,4,301,2013-04-09,2013-10-07,132
133,30,1,1,6,6,1,136,2013-03-10,2013-10-07,133
134,22,1,2,5,5,4,117,2010-08-22,2013-10-06,134
135,24,0,2,4,5,6,69,2013-03-10,2013-10-07,135
136,23,1,2,1,1,3,13,2013-02-06,2013-10-05,136
137,25,0,3,6,1,6,235,2013-03-09,2013-10-06,137
138,15,1,2,1,1,3,111,2013-04-09,2013-10-07,138
139,18,1,1,1,1,1,202,2011-11-16,2013-10-07,139
140,24,0,1,1,2,5,129,2013-03-10,2013-10-07,140
141,33,0,1,3,4,3,103,2013-04-08,2013-10-06,141
