"date","time","city","state","shape","duration","summary","post_date"
"10/22/13","19:30","Ossipee","NH","Circle","5","Bright circle flashed acrossed the sky in Ossipee only lasted about 3-5 seconds","10/23/13"
"10/22/13","19:30","Ossipee","NH","Circle","5","Bright circle flashed acrossed the sky in Ossipee only lasted about 3-5 seconds","10/23/13"
"10/22/13","05:45","Longmont","CO","Circle","60","Little red circle moving in an out of air streak.","10/23/13"
"10/20/13","08:15","Manitou Springs","CO","Circle","60","3ft round silver ball hovering down street and moving in seemingly precise path.","10/23/13"
"10/19/13","22:00","Koh Samui (Thailand)","","Circle","60","5 bright lights above chaweng beach koh samui","10/23/13"
"10/19/13","20:15","Oshkosh","WI","Circle","600","2 objects over Oshkosh.","10/23/13"
"10/19/13","13:40","Sierra Vista","AZ","Circle","20","Noticed a bright white circle (reflected sunlight) appearing from the NE on a SE trajectory. Alt. lower than the ISS when it appear.","10/23/13"
"10/19/13","00:17","Arlington","VA","Circle","240","Green flashing orb floating above the Douglas Park neighborhood of Arlington, VA","10/23/13"
"10/18/13","22:35","West Yarmouth","MA","Circle","45","Orange flickering light (like flame) moved across sky for about forty five seconds over Cape Cod, then vanished.","10/23/13"
"10/18/13","20:00","Dallas","TX","Circle","7200","Orb of light in far North Dallas.  ((NUFORC Note:  2 hours.  We suspect an advertising light.  PD))","10/23/13"
"10/18/13","01:45","Litchfield","NH","Circle","180","Bright object moving in sky.","10/23/13"
"10/17/13","21:15","Carolina beach","NC","Circle",NA,"Bright orange circles over Atlantic Ocean  3 in a row.  It was only seconds in the sky then they disappeared.","10/23/13"
"10/17/13","20:26","Holgate (LBI)","NJ","Circle","60","Long Orange Cigar Shape with two smaller circular Orb shapes that appeared and disappeared fast over the water.","10/23/13"
"10/17/13","06:45","Lakeside","CA","Circle","600","Bright lights in early morning sky in eastern San Diego County.","10/23/13"
"10/16/13","23:00","Orleans","IN","Circle",NA,"Large, round glowing orange lights move slow with no sound.","10/23/13"
"10/16/13","21:40","Indianapolis","IN","Circle","300","I was driving West on McGregor Road. I seen two orange balls on light. When the one on the left got close to the one on the right it go","10/23/13"
"10/16/13","20:23","Sacramento","CA","Circle","60","2 orb-like craft witnessed over Carmichael area of Sacramento.","10/23/13"
"10/16/13","20:15","Amelia","OH","Circle","2","Flash of light than a fast red light across the sky heading southwest.  No tail like a shooting star or comet. Appeared to low and WAY","10/23/13"
"10/15/13","18:25","Chennai (India)","","Circle","30","Yellowish/orange sphere observed in the sky.","10/23/13"
"10/14/13","23:00","Warren","OH","Circle","45","I seen an bright orange round star ship 10 times the size of a bright star  for aprox 45 sec and then it blinked out .","10/23/13"
"10/14/13","20:30","Kalamazoo","MI","Circle","300","Red circle over Kalamazoo.","10/23/13"
"10/14/13","00:35","Forked River","NJ","Circle","60","Red/gold fireball haze around it  stayed same size moving same speed much bigger then any star no meteor for sure.","10/14/13"
"10/13/13","23:30","Sheldon","IA","Circle","300","Ashton, Iowa sighting.","10/23/13"
"10/13/13","20:40","Indianapolis","IN","Circle","1200","Multiple round shapes moving slowly accross the sky, west of Raceway road we watched as multiple abjects cross the sky with no distint","10/14/13"
"10/13/13","19:45","Pasadena","MD","Circle","60","Orange object with white streaks observed near BWI airport.","10/14/13"
"10/13/13","19:30","Oswego","IL","Circle","600","4 bright orbs in loose triangle over Oswego, IL, planets or hovering craft?","10/14/13"
"10/13/13","05:01","Newark","TX","Circle","10800","Craft was low above trees circling lookin for something to pick up spraying white powder.","10/14/13"
"10/12/13","23:00","Anderson","SC","Circle","20","3 orange balls of light, that jet off one at a time in different directions!","10/14/13"
"10/12/13","22:26","Hiawassee","GA","Circle","900","We just witnessed an amazing event.  About ten different hovering light facing 20' north east of Hiawassee.  They were orange like and","10/14/13"
"10/12/13","21:00","Koh Samui (Thailand)","","Circle","45","Bright orange sphere in nighttime sky in Thailand.","10/14/13"
"10/11/13","06:13","Ankeny","IA","Circle","120","Two slow moving star-like objects suddenly accelerated to light speed heading towards Jupiter","10/14/13"
"10/10/13","20:30","Savage","MN","Circle","60","I saw a sphere shaped object flying east to west moving faster than any conventional aircraft was white to orange in color as it reache","10/14/13"
"10/10/13","20:00","Drexel","OH","Circle","300","Yellow/orange, sphere/circle that flew across night sky ,slow speeds then simply vanished , had no blinking lights, was not an airplane","10/14/13"
"10/10/13","19:20","Kenner","LA","Circle","600","2 circle lights moving erratically over Kenner, La.","10/14/13"
"10/9/13","21:07","St. Cloud","MN","Circle","15","I believe in aliens is just not them coming to earth.  I swear this was an ufo.","10/14/13"
"10/9/13","06:00","Fort Lauderdale","FL","Circle",NA,"4 orange circle above me.","10/14/13"
"10/9/13","05:35","Oltenita (Calarasi) (Romania)","","Circle","7200","Light on sky.","10/14/13"
"10/8/13","20:00","St. Cloud","MN","Circle","3600","Orange colored circle low in sky.","10/14/13"
"10/8/13","04:00","Natchez","MS","Circle","30","Very bright fast moving orb(s).","10/14/13"
"10/8/13","02:00","Lockesberg","AR","Circle",NA,"Small round what light (dim sometimes).  Subtle movement at first then abrupt direction changes, zig zags, figure8 fade out of vision.","10/14/13"
"10/7/13","20:21","Denver","CO","Circle","2","Blue/sphere of light.","10/14/13"
