"Date","City","State","Shape","Duration","Summary","Poster"
2013-10-22,"Ossipee","NH","Circle","5 seconds","Bright circle flashed acrossed the sky in Ossipee only lasted about 3-5 seconds","10/23/13"
2013-10-22,"Ossipee","NH","Circle","5 seconds","Bright circle flashed acrossed the sky in Ossipee only lasted about 3-5 seconds","10/23/13"
2013-10-22,"Longmont","CO","Circle","1 minutes","Little red circle moving in an out of air streak.","10/23/13"
2013-10-20,"Manitou Springs","CO","Circle","1 minutes","3ft round silver ball hovering down street and moving in seemingly precise path.","10/23/13"
2013-10-19,"Koh Samui (Thailand)","","Circle","60 seconds","5 bright lights above chaweng beach koh samui","10/23/13"
2013-10-19,"Oshkosh","WI","Circle","10 minutes","2 objects over Oshkosh.","10/23/13"
2013-10-19,"Sierra Vista","AZ","Circle","20 seconds","Noticed a bright white circle (reflected sunlight) appearing from the NE on a SE trajectory. Alt. lower than the ISS when it appear.","10/23/13"
2013-10-19,"Arlington","VA","Circle","4 minutes","Green flashing orb floating above the Douglas Park neighborhood of Arlington, VA","10/23/13"
2013-10-18,"West Yarmouth","MA","Circle","45 seconds","Orange flickering light (like flame) moved across sky for about forty five seconds over Cape Cod, then vanished.","10/23/13"
2013-10-18,"Dallas","TX","Circle","2 hours","Orb of light in far North Dallas.  ((NUFORC Note:  2 hours.  We suspect an advertising light.  PD))","10/23/13"
2013-10-18,"Litchfield","NH","Circle","3 minutes","Bright object moving in sky.","10/23/13"
2013-10-17,"Carolina beach","NC","Circle","seconds","Bright orange circles over Atlantic Ocean  3 in a row.  It was only seconds in the sky then they disappeared.","10/23/13"
2013-10-17,"Holgate (LBI)","NJ","Circle","","Long Orange Cigar Shape with two smaller circular Orb shapes that appeared and disappeared fast over the water.","10/23/13"
2013-10-17,"Lakeside","CA","Circle","10 minutes","Bright lights in early morning sky in eastern San Diego County.","10/23/13"
2013-10-16,"Orleans","IN","Circle","","Large, round glowing orange lights move slow with no sound.","10/23/13"
2013-10-16,"Indianapolis","IN","Circle","5 minutes","I was driving West on McGregor Road. I seen two orange balls on light. When the one on the left got close to the one on the right it go","10/23/13"
2013-10-16,"Sacramento","CA","Circle","1 minutes","2 orb-like craft witnessed over Carmichael area of Sacramento.","10/23/13"
2013-10-16,"Amelia","OH","Circle","2 seconds","Flash of light than a fast red light across the sky heading southwest.  No tail like a shooting star or comet. Appeared to low and WAY","10/23/13"
2013-10-15,"Chennai (India)","","Circle","30 seconds","Yellowish/orange sphere observed in the sky.","10/23/13"
2013-10-14,"Warren","OH","Circle","45 seconds","I seen an bright orange round star ship 10 times the size of a bright star  for aprox 45 sec and then it blinked out .","10/23/13"
2013-10-14,"Kalamazoo","MI","Circle","5 minutes","Red circle over Kalamazoo.","10/23/13"
2013-10-14,"Forked River","NJ","Circle","1 minutes","Red/gold fireball haze around it  stayed same size moving same speed much bigger then any star no meteor for sure.","10/14/13"
2013-10-13,"Sheldon","IA","Circle","5 minutes","Ashton, Iowa sighting.","10/23/13"
2013-10-13,"Indianapolis","IN","Circle","20 minutes","Multiple round shapes moving slowly accross the sky, west of Raceway road we watched as multiple abjects cross the sky with no distint","10/14/13"
2013-10-13,"Pasadena","MD","Circle","1 minutes","Orange object with white streaks observed near BWI airport.","10/14/13"
2013-10-13,"Oswego","IL","Circle","10 minutes","4 bright orbs in loose triangle over Oswego, IL, planets or hovering craft?","10/14/13"
